File,Artist,Title,BPM,Key,Camelot
tele chorus hi.wav,,,104,C minor,5A
tele chorus low.wav,,,104,C minor,5A
tele chorus mid.wav,,,104,C minor,5A
tele chorus oct hi.wav,,,104,C minor,5A
tele chorus oct.wav,,,91,C minor,5A
tele clean hi.wav,,,107,A minor,8A
tele clean low.wav,,,87,C minor,5A
tele clean mid.wav,,,104,C minor,5A
tele clean oct hi.wav,,,101,C major,8B
tele clean oct.wav,,,104,C minor,5A
tele filter hii.wav,,,99,C minor,5A
tele filter low.wav,,,101,C minor,5A
tele filter mid.wav,,,104,C minor,5A
tele filter oct hi.wav,,,107,C minor,5A
tele filter oct.wav,,,99,C minor,5A
tele white hi.wav,,,104,C minor,5A
tele white low.wav,,,91,C minor,5A
tele white mid.wav,,,104,C minor,5A
tele white oct hi.wav,,,101,C minor,5A
tele white oct.wav,,,91,C minor,5A
