File,Artist,Title,BPM,Key,Camelot
GS_GTR Xmass_Guitar Loops_ 1_100bpm_Bm.wav,,,89,B minor,10A
GS_GTR Xmass_Guitar Loops_ 2_100bpm_Bb min.wav,,,134,E♭ minor,2A
GS_GTR Xmass_Guitar Loops_ 3_100bpm_Gmin.wav,,,104,G minor,6A
GS_GTR Xmass_Guitar Loops_ 4_100bpm_Cmaj.wav,,,100,E major,12B
GS_GTR Xmass_Guitar Loops_ 5_100bpm_Fmin.wav,,,101,G minor,6A
GS_GTR Xmass_Guitar Loops_ 6_100bpm_Gmaj.wav,,,102,G major,9B
GS_GTR Xmass_Guitar Loops_ 7_100bpm_C#min.wav,,,110,F# minor,
GS_GTR Xmass_Guitar Loops_ 8_100bpm_Amaj.wav,,,101,F# minor,
GS_GTR Xmass_Guitar Loops_ 9_100bpm_Dmaj.wav,,,103,A minor,8A
GS_GTR Xmass_Guitar Loops_ 10_100bpm_Gmaj.wav,,,115,D major,10B
GS_GTR Xmass_Guitar Loops_ 11_100bpm_C#min.wav,,,101,C# minor,
GS_GTR Xmass_Guitar Loops_ 12_100bpm_Amaj.wav,,,101,B minor,10A
GS_GTR Xmass_Guitar Loops_ 13_100bpm_Gmaj.wav,,,100,G major,9B
GS_GTR Xmass_Guitar Loops_ 14_100bpm_ Cmaj.wav,,,133,C major,8B
GS_GTR Xmass_Guitar Loops_ 15_100bpm_Amin.wav,,,103,A minor,8A
GS_GTR Xmass_Guitar Loops_ 16_100bpm_Emin.wav,,,101,G major,9B
GS_GTR Xmass_Guitar Loops_ 17_100bpm_F#maj.wav,,,133,F# minor,
GS_GTR Xmass_Guitar Loops_ 18_100bpm_BbMin.wav,,,100,C# major,
GS_GTR Xmass_Guitar Loops_ 19_100bpm_Amaj.wav,,,99,D minor,7A
GS_GTR Xmass_Guitar Loops_ 20_100bpm_Cmaj.wav,,,82,G minor,6A
