File,Artist,Title,BPM,Key,Camelot
banjo_A3_very-long_forte_normal.mp3,,169,107,A minor,8A
banjo_A3_very-long_piano_normal.mp3,,131,107,A minor,8A
banjo_A4_very-long_forte_normal.mp3,,180,107,A minor,8A
banjo_A4_very-long_piano_normal.mp3,,143,107,A minor,8A
banjo_A5_very-long_forte_normal.mp3,,191,99,D minor,7A
banjo_A5_very-long_piano_normal.mp3,,154,101,A minor,8A
banjo_As3_very-long_forte_normal.mp3,,170,107,B♭ major,6B
banjo_As3_very-long_piano_normal.mp3,,132,101,B♭ minor,3A
banjo_As4_very-long_forte_normal.mp3,,181,99,B♭ major,6B
banjo_As4_very-long_piano_normal.mp3,,144,101,B♭ major,6B
banjo_As5_very-long_forte_normal.mp3,,192,107,D minor,7A
banjo_As5_very-long_piano_normal.mp3,,155,101,C major,8B
banjo_B3_very-long_forte_normal.mp3,,171,142,B minor,10A
banjo_B3_very-long_piano_normal.mp3,,133,87,B minor,10A
banjo_B4_very-long_forte_normal.mp3,,182,107,D major,10B
banjo_B4_very-long_piano_normal.mp3,,145,107,A minor,8A
banjo_B5_very-long_forte_normal.mp3,,193,104,C major,8B
banjo_B5_very-long_piano_normal.mp3,,156,144,A minor,8A
banjo_C3_very-long_forte_normal.mp3,,157,78,C major,8B
banjo_C3_very-long_piano_normal.mp3,,122,104,C major,8B
banjo_C4_very-long_forte_normal.mp3,,172,144,C major,8B
banjo_C4_very-long_piano_normal.mp3,,134,104,A minor,8A
banjo_C5_very-long_forte_normal.mp3,,183,107,D minor,7A
banjo_C5_very-long_piano_normal.mp3,,146,142,C major,8B
banjo_C6_very-long_forte_normal.mp3,,194,107,C major,8B
banjo_Cs3_very-long_forte_normal.mp3,,158,91,A major,11B
banjo_Cs3_very-long_piano_normal.mp3,,123,153,C# major,
banjo_Cs4_very-long_forte_normal.mp3,,173,107,A major,11B
banjo_Cs4_very-long_piano_normal.mp3,,135,99,A major,11B
banjo_Cs5_very-long_forte_normal.mp3,,184,104,D minor,7A
banjo_Cs6_very-long_forte_normal.mp3,,195,99,D minor,7A
banjo_D3_very-long_forte_normal.mp3,,159,104,D major,10B
banjo_D3_very-long_piano_normal.mp3,,124,82,D major,10B
banjo_D4_very-long_forte_normal.mp3,,174,104,D minor,7A
banjo_D4_very-long_piano_normal.mp3,,136,142,D minor,7A
banjo_D5_very-long_forte_normal.mp3,,185,104,D minor,7A
banjo_D5_very-long_piano_normal.mp3,,147,107,D minor,7A
banjo_D6_very-long_forte_normal.mp3,,196,107,D minor,7A
banjo_Ds3_very-long_forte_normal.mp3,,160,101,E♭ minor,2A
banjo_Ds3_very-long_piano_normal.mp3,,125,107,E♭ minor,2A
banjo_Ds4_very-long_forte_normal.mp3,,175,85,E♭ major,5B
banjo_Ds4_very-long_piano_normal.mp3,,137,104,E♭ major,5B
banjo_Ds5_very-long_forte_normal.mp3,,186,107,A minor,8A
banjo_Ds5_very-long_piano_normal.mp3,,148,107,A minor,8A
banjo_Ds6_very-long_forte_normal.mp3,,197,107,C major,8B
banjo_E3_very-long_forte_normal.mp3,,161,85,A minor,8A
banjo_E3_very-long_piano_normal.mp3,,126,147,E minor,9A
banjo_E4_very-long_forte_normal.mp3,,176,82,E minor,9A
banjo_E4_very-long_piano_normal.mp3,,138,99,A minor,8A
banjo_E5_very-long_forte_normal.mp3,,187,107,A minor,8A
banjo_E5_very-long_piano_normal.mp3,,149,101,A minor,8A
banjo_E6_very-long_forte_normal.mp3,,198,85,C major,8B
banjo_F3_very-long_forte_normal.mp3,,162,104,F major,7B
banjo_F3_very-long_piano_normal.mp3,,127,107,F major,7B
banjo_F4_very-long_forte_normal.mp3,,177,104,F major,7B
banjo_F4_very-long_piano_normal.mp3,,139,107,F major,7B
banjo_F5_very-long_forte_normal.mp3,,188,153,D minor,7A
banjo_F5_very-long_piano_normal.mp3,,150,107,F major,7B
banjo_Fs3_very-long_forte_normal.mp3,,163,107,F# minor,
banjo_Fs3_very-long_piano_normal.mp3,,128,104,F# minor,
banjo_Fs4_very-long_forte_normal.mp3,,178,99,F# minor,
banjo_Fs4_very-long_piano_normal.mp3,,140,107,F# minor,
banjo_Fs5_very-long_forte_normal.mp3,,189,107,D major,10B
banjo_Fs5_very-long_piano_normal.mp3,,151,104,A major,11B
banjo_G3_very-long_forte_normal.mp3,,164,104,G major,9B
banjo_G3_very-long_piano_normal.mp3,,129,78,G major,9B
banjo_G4_very-long_piano_normal.mp3,,141,153,G major,9B
banjo_G5_very-long_forte_normal.mp3,,190,99,G minor,6A
banjo_G5_very-long_piano_normal.mp3,,152,94,G minor,6A
banjo_Gs3_very-long_forte_normal.mp3,,168,82,A♭ minor,1A
banjo_Gs3_very-long_piano_normal.mp3,,130,82,A♭ minor,1A
banjo_Gs4_very-long_forte_normal.mp3,,179,104,A minor,8A
banjo_Gs4_very-long_piano_normal.mp3,,142,107,A minor,8A
banjo_Gs5_very-long_piano_normal.mp3,,153,94,A minor,8A
