File,Artist,Title,BPM,Key,Camelot
bass-clarinet_A2_1_forte_normal.mp3,,150,107,A major,11B
bass-clarinet_A2_1_fortissimo_normal.mp3,,154,96,A major,11B
bass-clarinet_A2_1_pianissimo_normal.mp3,,143,83,A major,11B
bass-clarinet_A2_05_forte_normal.mp3,,149,107,A major,11B
bass-clarinet_A2_05_fortissimo_normal.mp3,,153,107,A major,11B
bass-clarinet_A2_05_pianissimo_normal.mp3,,142,96,A major,11B
bass-clarinet_A2_05_piano_normal.mp3,,146,94,A major,11B
bass-clarinet_A2_15_forte_normal.mp3,,151,91,A major,11B
bass-clarinet_A2_15_fortissimo_normal.mp3,,155,104,A major,11B
bass-clarinet_A2_15_pianissimo_normal.mp3,,144,107,A major,11B
bass-clarinet_A2_15_piano_normal.mp3,,147,153,A major,11B
bass-clarinet_A2_025_forte_normal.mp3,,148,104,A major,11B
bass-clarinet_A2_025_fortissimo_normal.mp3,,152,112,A major,11B
bass-clarinet_A2_025_mezzo-forte_staccato.mp3,,956,107,B minor,10A
bass-clarinet_A2_025_pianissimo_normal.mp3,,141,107,A major,11B
bass-clarinet_A2_025_piano_normal.mp3,,145,107,A major,11B
bass-clarinet_A2_phrase_mezzo-forte_legato.mp3,,915,135,A minor,8A
bass-clarinet_A2_phrase_mezzo-forte_nonlegato.mp3,,924,133,F major,7B
bass-clarinet_A2_phrase_mezzo-forte_staccatissimo.mp3,,980,80,A major,11B
bass-clarinet_A2_phrase_mezzo-forte_tongued-slur.mp3,,934,74,E♭ major,5B
bass-clarinet_A3_1_forte_normal.mp3,,418,107,A minor,8A
bass-clarinet_A3_1_fortissimo_normal.mp3,,422,107,A minor,8A
bass-clarinet_A3_1_pianissimo_normal.mp3,,410,107,A major,11B
bass-clarinet_A3_1_piano_normal.mp3,,414,107,A minor,8A
bass-clarinet_A3_05_forte_normal.mp3,,417,104,A minor,8A
bass-clarinet_A3_05_fortissimo_normal.mp3,,421,96,A minor,8A
bass-clarinet_A3_05_pianissimo_normal.mp3,,409,101,A minor,8A
bass-clarinet_A3_05_piano_normal.mp3,,413,107,A minor,8A
bass-clarinet_A3_15_forte_normal.mp3,,419,96,A minor,8A
bass-clarinet_A3_15_fortissimo_normal.mp3,,423,104,A minor,8A
bass-clarinet_A3_15_pianissimo_normal.mp3,,411,101,A minor,8A
bass-clarinet_A3_15_piano_normal.mp3,,415,107,A minor,8A
bass-clarinet_A3_025_forte_normal.mp3,,416,87,A minor,8A
bass-clarinet_A3_025_fortissimo_normal.mp3,,420,96,A major,11B
bass-clarinet_A3_025_mezzo-forte_staccato.mp3,,957,85,A major,11B
bass-clarinet_A3_025_pianissimo_normal.mp3,,408,87,A major,11B
bass-clarinet_A3_025_piano_normal.mp3,,412,107,A minor,8A
bass-clarinet_A3_phrase_forte_major-trill.mp3,,1067,96,B minor,10A
bass-clarinet_A3_phrase_mezzo-forte_legato.mp3,,918,69,A minor,8A
bass-clarinet_A3_phrase_mezzo-forte_nonlegato.mp3,,928,70,A minor,8A
bass-clarinet_A3_phrase_mezzo-forte_staccatissimo.mp3,,990,85,D minor,7A
bass-clarinet_A3_phrase_mezzo-forte_tongued-slur.mp3,,938,79,A minor,8A
bass-clarinet_A3_very-long_mezzo-piano_harmonic.mp3,,1030,80,A minor,8A
bass-clarinet_A4_1_forte_normal.mp3,,650,104,A major,11B
bass-clarinet_A4_1_fortissimo_normal.mp3,,654,104,A minor,8A
bass-clarinet_A4_1_mezzo-forte_normal.mp3,,646,107,A minor,8A
bass-clarinet_A4_1_pianissimo_normal.mp3,,638,107,A major,11B
bass-clarinet_A4_1_piano_normal.mp3,,642,104,A minor,8A
bass-clarinet_A4_05_forte_normal.mp3,,649,104,A major,11B
bass-clarinet_A4_05_fortissimo_normal.mp3,,653,104,A minor,8A
bass-clarinet_A4_05_mezzo-forte_normal.mp3,,645,107,A minor,8A
bass-clarinet_A4_05_pianissimo_normal.mp3,,637,94,A minor,8A
bass-clarinet_A4_05_piano_normal.mp3,,641,99,A minor,8A
bass-clarinet_A4_15_forte_normal.mp3,,651,134,A minor,8A
bass-clarinet_A4_15_fortissimo_normal.mp3,,655,107,A minor,8A
bass-clarinet_A4_15_mezzo-forte_normal.mp3,,647,107,A minor,8A
bass-clarinet_A4_15_pianissimo_normal.mp3,,639,104,A minor,8A
bass-clarinet_A4_15_piano_normal.mp3,,643,107,A minor,8A
bass-clarinet_A4_025_forte_normal.mp3,,648,94,A minor,8A
bass-clarinet_A4_025_fortissimo_normal.mp3,,652,104,A major,11B
bass-clarinet_A4_025_mezzo-forte_normal.mp3,,644,142,A minor,8A
bass-clarinet_A4_025_pianissimo_normal.mp3,,636,136,A minor,8A
bass-clarinet_A4_025_piano_normal.mp3,,640,94,A minor,8A
bass-clarinet_A4_phrase_forte_major-trill.mp3,,1073,101,B minor,10A
bass-clarinet_A4_phrase_forte_minor-trill.mp3,,1074,85,D major,10B
bass-clarinet_A5_1_fortissimo_normal.mp3,,894,101,A minor,8A
bass-clarinet_A5_1_mezzo-forte_normal.mp3,,890,107,A minor,8A
bass-clarinet_A5_1_piano_normal.mp3,,886,107,A minor,8A
bass-clarinet_A5_05_fortissimo_normal.mp3,,893,104,A minor,8A
bass-clarinet_A5_05_mezzo-forte_normal.mp3,,889,107,A minor,8A
bass-clarinet_A5_05_piano_normal.mp3,,885,147,A minor,8A
bass-clarinet_A5_15_fortissimo_normal.mp3,,895,94,A minor,8A
bass-clarinet_A5_15_mezzo-forte_normal.mp3,,891,104,A major,11B
bass-clarinet_A5_15_piano_normal.mp3,,887,107,A minor,8A
bass-clarinet_A5_025_fortissimo_normal.mp3,,892,80,A major,11B
bass-clarinet_A5_025_mezzo-forte_normal.mp3,,888,96,A minor,8A
bass-clarinet_A5_025_piano_normal.mp3,,884,82,A minor,8A
bass-clarinet_As2_1_forte_normal.mp3,,169,101,B♭ major,6B
bass-clarinet_As2_1_fortissimo_normal.mp3,,173,104,B♭ major,6B
bass-clarinet_As2_1_mezzo-forte_normal.mp3,,165,99,B♭ major,6B
bass-clarinet_As2_1_pianissimo_normal.mp3,,158,107,B♭ major,6B
bass-clarinet_As2_05_forte_normal.mp3,,168,76,B♭ major,6B
bass-clarinet_As2_05_fortissimo_normal.mp3,,172,101,B♭ major,6B
bass-clarinet_As2_05_mezzo-forte_normal.mp3,,164,101,B♭ major,6B
bass-clarinet_As2_05_pianissimo_normal.mp3,,157,129,B♭ major,6B
bass-clarinet_As2_05_piano_normal.mp3,,161,107,B♭ major,6B
bass-clarinet_As2_15_forte_normal.mp3,,170,107,B♭ major,6B
bass-clarinet_As2_15_fortissimo_normal.mp3,,174,101,B♭ major,6B
bass-clarinet_As2_15_mezzo-forte_normal.mp3,,166,153,B♭ major,6B
bass-clarinet_As2_15_pianissimo_normal.mp3,,159,150,B♭ major,6B
bass-clarinet_As2_15_piano_normal.mp3,,162,102,B♭ major,6B
bass-clarinet_As2_025_forte_normal.mp3,,167,115,B♭ major,6B
bass-clarinet_As2_025_fortissimo_normal.mp3,,171,121,B♭ major,6B
bass-clarinet_As2_025_mezzo-forte_normal.mp3,,163,121,B♭ major,6B
bass-clarinet_As2_025_pianissimo_normal.mp3,,156,94,B♭ major,6B
bass-clarinet_As2_025_piano_normal.mp3,,160,91,B♭ major,6B
bass-clarinet_As2_very-long_mezzo-piano_harmonic.mp3,,1029,94,B♭ major,6B
bass-clarinet_As3_1_forte_normal.mp3,,434,87,B♭ major,6B
bass-clarinet_As3_1_fortissimo_normal.mp3,,438,107,B♭ major,6B
bass-clarinet_As3_1_mezzo-forte_normal.mp3,,431,107,B♭ major,6B
bass-clarinet_As3_1_pianissimo_normal.mp3,,426,85,B♭ major,6B
bass-clarinet_As3_05_fortissimo_normal.mp3,,437,91,B♭ major,6B
bass-clarinet_As3_05_pianissimo_normal.mp3,,425,101,B♭ major,6B
bass-clarinet_As3_15_forte_normal.mp3,,435,78,B♭ major,6B
bass-clarinet_As3_15_fortissimo_normal.mp3,,439,107,B♭ major,6B
bass-clarinet_As3_15_mezzo-forte_normal.mp3,,432,107,B♭ major,6B
bass-clarinet_As3_15_pianissimo_normal.mp3,,427,80,B♭ major,6B
bass-clarinet_As3_15_piano_normal.mp3,,429,107,B♭ major,6B
bass-clarinet_As3_025_fortissimo_normal.mp3,,436,89,B♭ major,6B
bass-clarinet_As3_025_pianissimo_normal.mp3,,424,99,B♭ minor,3A
bass-clarinet_As3_phrase_forte_tremolo.mp3,,1055,83,B♭ major,6B
bass-clarinet_As3_very-long_forte_normal.mp3,,433,101,B♭ major,6B
bass-clarinet_As3_very-long_mezzo-forte_normal.mp3,,430,104,B♭ major,6B
bass-clarinet_As3_very-long_piano_normal.mp3,,428,104,B♭ major,6B
bass-clarinet_As4_1_forte_normal.mp3,,670,107,B♭ minor,3A
bass-clarinet_As4_1_fortissimo_normal.mp3,,674,104,B♭ minor,3A
bass-clarinet_As4_1_mezzo-forte_normal.mp3,,666,101,B♭ major,6B
bass-clarinet_As4_1_pianissimo_normal.mp3,,658,107,B♭ major,6B
bass-clarinet_As4_1_piano_normal.mp3,,662,99,B♭ minor,3A
bass-clarinet_As4_05_forte_normal.mp3,,669,107,B♭ major,6B
bass-clarinet_As4_05_fortissimo_normal.mp3,,673,104,B♭ minor,3A
bass-clarinet_As4_05_mezzo-forte_normal.mp3,,665,104,B♭ major,6B
bass-clarinet_As4_05_pianissimo_normal.mp3,,657,101,B♭ major,6B
bass-clarinet_As4_05_piano_normal.mp3,,661,104,B♭ minor,3A
bass-clarinet_As4_15_forte_normal.mp3,,671,107,B♭ minor,3A
bass-clarinet_As4_15_fortissimo_normal.mp3,,675,107,B♭ minor,3A
bass-clarinet_As4_15_mezzo-forte_normal.mp3,,667,107,B♭ major,6B
bass-clarinet_As4_15_pianissimo_normal.mp3,,659,83,B♭ major,6B
bass-clarinet_As4_15_piano_normal.mp3,,663,107,B♭ major,6B
bass-clarinet_As4_025_forte_normal.mp3,,668,94,B♭ minor,3A
bass-clarinet_As4_025_fortissimo_normal.mp3,,672,96,B♭ minor,3A
bass-clarinet_As4_025_mezzo-forte_normal.mp3,,664,82,B♭ minor,3A
bass-clarinet_As4_025_pianissimo_normal.mp3,,656,82,B♭ minor,3A
bass-clarinet_As4_025_piano_normal.mp3,,660,82,B♭ major,6B
bass-clarinet_As5_1_forte_normal.mp3,,906,107,A minor,8A
bass-clarinet_As5_1_fortissimo_normal.mp3,,910,104,D minor,7A
bass-clarinet_As5_1_mezzo-forte_normal.mp3,,902,94,B♭ major,6B
bass-clarinet_As5_1_piano_normal.mp3,,898,107,D minor,7A
bass-clarinet_As5_05_forte_normal.mp3,,905,104,D minor,7A
bass-clarinet_As5_05_fortissimo_normal.mp3,,909,107,B♭ minor,3A
bass-clarinet_As5_05_mezzo-forte_normal.mp3,,901,104,A minor,8A
bass-clarinet_As5_05_piano_normal.mp3,,897,104,C minor,5A
bass-clarinet_As5_15_forte_normal.mp3,,907,104,A minor,8A
bass-clarinet_As5_15_fortissimo_normal.mp3,,911,78,A♭ minor,1A
bass-clarinet_As5_15_mezzo-forte_normal.mp3,,903,96,A major,11B
bass-clarinet_As5_15_piano_normal.mp3,,899,91,A minor,8A
bass-clarinet_As5_025_forte_normal.mp3,,904,80,A minor,8A
bass-clarinet_As5_025_fortissimo_normal.mp3,,908,83,A minor,8A
bass-clarinet_As5_025_mezzo-forte_normal.mp3,,900,82,A minor,8A
bass-clarinet_As5_025_piano_normal.mp3,,896,83,A minor,8A
bass-clarinet_B2_1_forte_normal.mp3,,195,107,B minor,10A
bass-clarinet_B2_1_fortissimo_normal.mp3,,199,107,B major,1B
bass-clarinet_B2_1_mezzo-forte_normal.mp3,,191,81,B minor,10A
bass-clarinet_B2_1_pianissimo_normal.mp3,,183,101,B major,1B
bass-clarinet_B2_1_piano_normal.mp3,,187,129,B major,1B
bass-clarinet_B2_05_forte_normal.mp3,,194,110,B major,1B
bass-clarinet_B2_05_fortissimo_normal.mp3,,198,107,B major,1B
bass-clarinet_B2_05_mezzo-forte_normal.mp3,,190,104,B major,1B
bass-clarinet_B2_05_pianissimo_normal.mp3,,182,99,B major,1B
bass-clarinet_B2_05_piano_normal.mp3,,186,107,B major,1B
bass-clarinet_B2_15_forte_normal.mp3,,196,101,B minor,10A
bass-clarinet_B2_15_fortissimo_normal.mp3,,200,107,B minor,10A
bass-clarinet_B2_15_mezzo-forte_normal.mp3,,192,104,B major,1B
bass-clarinet_B2_15_pianissimo_normal.mp3,,184,107,B major,1B
bass-clarinet_B2_15_piano_normal.mp3,,188,107,B major,1B
bass-clarinet_B2_025_forte_normal.mp3,,193,129,B minor,10A
bass-clarinet_B2_025_fortissimo_normal.mp3,,197,139,B major,1B
bass-clarinet_B2_025_mezzo-forte_normal.mp3,,189,127,B major,1B
bass-clarinet_B2_025_mezzo-forte_staccato.mp3,,961,99,B major,1B
bass-clarinet_B2_025_pianissimo_normal.mp3,,181,88,B major,1B
bass-clarinet_B2_025_piano_normal.mp3,,185,80,B major,1B
bass-clarinet_B2_phrase_forte_minor-trill.mp3,,1062,153,E minor,9A
bass-clarinet_B3_1_forte_normal.mp3,,454,101,B minor,10A
bass-clarinet_B3_1_fortissimo_normal.mp3,,458,107,B minor,10A
