File,Artist,Title,BPM,Key,Camelot
bass-drum__1_fortissimo_struck-singly.mp3,,Mono Little Perc-527,107,D minor,7A
bass-drum__1_mezzo-forte_bass-drum-mallet.mp3,,Mono Little Perc-1539,107,B major,1B
bass-drum__1_mezzo-forte_flam.mp3,,Mono Little Perc-517,101,G minor,6A
bass-drum__1_mezzo-piano_flam.mp3,,Mono Little Perc-518,135,G major,9B
bass-drum__1_mezzo-piano_struck-singly.mp3,,Mono Little Perc-524,107,A minor,8A
bass-drum__1_pianissimo_struck-singly.mp3,,Mono Little Perc-526,91,G minor,6A
bass-drum__05_mezzo-forte_rute.mp3,,Mono Little Perc-534,106,A major,11B
bass-drum__15_mezzo-piano_rhythm.mp3,,Mono Little Perc-519,123,C major,8B
bass-drum__15_pianissimo_rhythm.mp3,,Mono Little Perc-522,121,F major,7B
bass-drum__025_forte_bass-drum-mallet.mp3,,Mono Little Perc-508,104,A major,11B
bass-drum__025_mezzo-forte_bass-drum-mallet.mp3,,Mono Little Perc-506,107,C minor,5A
bass-drum__025_mezzo-forte_rute.mp3,,Mono Little Perc-537,99,B♭ major,6B
bass-drum__long_crescendo_bass-drum-mallet.mp3,,Mono Little Perc-486,69,A♭ minor,1A
bass-drum__phrase_forte_rute.mp3,,Mono Little Perc-533,121,B minor,10A
bass-drum__phrase_mezzo-forte_rute.mp3,,Mono Little Perc-544,96,B♭ major,6B
bass-drum__phrase_mezzo-forte_sticks.mp3,,Mono Little Perc-515,122,D major,10B
bass-drum__phrase_mezzo-piano_rhythm.mp3,,Mono Little Perc-1543,105,B major,1B
bass-drum__phrase_mezzo-piano_rute.mp3,,Mono Little Perc-538,108,G major,9B
