File,Artist,Title,BPM,Key,Camelot
bassoon_A2_1_forte_normal.mp3,,Bassoon Mono-971,87,A minor,8A
bassoon_A2_1_mezzo-forte_normal.mp3,,Bassoon Mono-1602,82,A minor,8A
bassoon_A2_1_mezzo-piano_normal.mp3,,Bassoon Mono-416,87,A minor,8A
bassoon_A2_1_piano_normal.mp3,,Bassoon Mono-60,107,A minor,8A
bassoon_A2_05_forte_normal.mp3,,Bassoon Mono-983,101,A minor,8A
bassoon_A2_05_fortissimo_normal.mp3,,Bassoon Mono-1072,85,A minor,8A
bassoon_A2_05_mezzo-forte_normal.mp3,,Bassoon Mono-1605,85,A minor,8A
bassoon_A2_05_mezzo-piano_normal.mp3,,Bassoon Mono-415,107,A minor,8A
bassoon_A2_05_piano_normal.mp3,,Bassoon Mono-59,80,A minor,8A
bassoon_A2_15_piano_normal.mp3,,Bassoon Mono-61,99,A minor,8A
bassoon_A2_025_forte_normal.mp3,,Bassoon Mono-841,85,A minor,8A
bassoon_A2_025_fortissimo_normal.mp3,,Bassoon Mono-1071,107,A minor,8A
bassoon_A2_025_mezzo-piano_normal.mp3,,Bassoon Mono-413,107,A minor,8A
bassoon_A2_025_piano_normal.mp3,,Bassoon Mono-208,96,A minor,8A
bassoon_A3_1_forte_normal.mp3,,Bassoon Mono-890,147,A minor,8A
bassoon_A3_1_fortissimo_normal.mp3,,Bassoon Mono-1135,85,A minor,8A
bassoon_A3_1_mezzo-forte_normal.mp3,,Bassoon Mono-1594,94,A minor,8A
bassoon_A3_1_mezzo-piano_normal.mp3,,Bassoon Mono-464,101,A minor,8A
bassoon_A3_1_piano_normal.mp3,,Bassoon Mono-118,104,A minor,8A
bassoon_A3_05_forte_normal.mp3,,Bassoon Mono-889,104,A minor,8A
bassoon_A3_05_fortissimo_normal.mp3,,Bassoon Mono-1133,104,A minor,8A
bassoon_A3_05_mezzo-piano_normal.mp3,,Bassoon Mono-462,107,A minor,8A
bassoon_A3_05_piano_normal.mp3,,Bassoon Mono-116,96,A minor,8A
bassoon_A3_15_forte_normal.mp3,,Bassoon Mono-891,94,A major,11B
bassoon_A3_15_mezzo-piano_normal.mp3,,Bassoon Mono-536,85,A minor,8A
bassoon_A3_15_piano_normal.mp3,,Bassoon Mono-119,82,A minor,8A
bassoon_A3_025_forte_normal.mp3,,Bassoon Mono-888,91,A minor,8A
bassoon_A3_025_fortissimo_normal.mp3,,Bassoon Mono-1132,87,A minor,8A
bassoon_A3_025_mezzo-piano_normal.mp3,,Bassoon Mono-533,82,A minor,8A
bassoon_A3_025_piano_normal.mp3,,Bassoon Mono-115,107,A minor,8A
bassoon_A4_1_forte_normal.mp3,,Bassoon Mono-934,94,A minor,8A
bassoon_A4_1_mezzo-piano_normal.mp3,,Bassoon Mono-594,89,A minor,8A
bassoon_A4_1_piano_normal.mp3,,Bassoon Mono-176,85,A minor,8A
bassoon_A4_05_forte_normal.mp3,,Bassoon Mono-933,107,A minor,8A
bassoon_A4_05_fortissimo_normal.mp3,,Bassoon Mono-1173,107,A minor,8A
bassoon_A4_05_mezzo-forte_normal.mp3,,Bassoon Mono-1579,153,A minor,8A
bassoon_A4_05_mezzo-piano_normal.mp3,,Bassoon Mono-593,107,A minor,8A
bassoon_A4_05_piano_normal.mp3,,Bassoon Mono-175,96,A minor,8A
bassoon_A4_15_forte_normal.mp3,,Bassoon Mono-935,94,A minor,8A
bassoon_A4_15_mezzo-piano_normal.mp3,,Bassoon Mono-596,89,A minor,8A
bassoon_A4_15_piano_normal.mp3,,Bassoon Mono-177,82,A major,11B
bassoon_A4_025_forte_normal.mp3,,Bassoon Mono-932,91,D minor,7A
