File,Artist,Title,BPM,Key,Camelot
cello_A2_1_forte_arco-normal.mp3,,881,107,A minor,8A
cello_A2_1_fortissimo_arco-normal.mp3,,1185,150,A major,11B
cello_A2_1_mezzo-piano_arco-normal.mp3,,403,101,A major,11B
cello_A2_1_mezzo-piano_non-vibrato.mp3,,1675,104,A minor,8A
cello_A2_1_pianissimo_arco-normal.mp3,,67,125,A minor,8A
cello_A2_05_forte_arco-normal.mp3,,879,125,A minor,8A
cello_A2_05_fortissimo_arco-normal.mp3,,1184,147,A major,11B
cello_A2_05_mezzo-piano_arco-normal.mp3,,402,80,A minor,8A
cello_A2_05_pianissimo_arco-normal.mp3,,66,99,A major,11B
cello_A2_15_forte_arco-normal.mp3,,882,94,A major,11B
cello_A2_15_pianissimo_arco-normal.mp3,,68,107,A major,11B
cello_A2_15_piano_arco-normal.mp3,,345,144,A major,11B
cello_A2_025_forte_arco-normal.mp3,,877,113,A minor,8A
cello_A2_025_fortissimo_arco-normal.mp3,,1182,123,A major,11B
cello_A2_025_mezzo-forte_arco-col-legno-battuto.mp3,,1658,104,A minor,8A
cello_A2_025_mezzo-piano_arco-normal.mp3,,400,78,A minor,8A
cello_A2_025_pianissimo_arco-normal.mp3,,65,147,A minor,8A
cello_A3_1_forte_arco-normal.mp3,,929,96,A minor,8A
cello_A3_1_fortissimo_arco-normal.mp3,,1200,96,A major,11B
cello_A3_1_mezzo-piano_arco-minor-trill.mp3,,1712,96,A minor,8A
cello_A3_1_mezzo-piano_arco-normal.mp3,,434,107,A minor,8A
cello_A3_1_mezzo-piano_non-vibrato.mp3,,1683,75,A♭ minor,1A
cello_A3_1_pianissimo_arco-normal.mp3,,309,99,A minor,8A
cello_A3_05_forte_arco-normal.mp3,,927,87,A minor,8A
cello_A3_05_fortissimo_arco-normal.mp3,,1199,103,A major,11B
cello_A3_05_mezzo-piano_arco-normal.mp3,,432,94,A minor,8A
cello_A3_15_forte_arco-normal.mp3,,931,96,A minor,8A
cello_A3_15_mezzo-piano_arco-normal.mp3,,436,147,A minor,8A
cello_A3_025_forte_arco-normal.mp3,,923,122,A minor,8A
cello_A3_025_fortissimo_arco-normal.mp3,,1198,134,A minor,8A
cello_A3_025_mezzo-forte_arco-col-legno-battuto.mp3,,1638,101,A minor,8A
cello_A3_025_mezzo-piano_arco-normal.mp3,,430,104,A minor,8A
cello_A3_025_pianissimo_arco-normal.mp3,,120,94,A minor,8A
cello_A3_phrase_cresc-decresc_arco-normal.mp3,,1870,84,D minor,7A
cello_A3_phrase_fortissimo_arco-tremolo.mp3,,1411,118,G minor,6A
cello_A3_phrase_mezzo-forte_arco-detache.mp3,,1261,116,G minor,6A
cello_A3_phrase_mezzo-forte_arco-legato.mp3,,1303,128,G minor,6A
cello_A3_phrase_mezzo-forte_arco-spiccato.mp3,,1369,75,G minor,6A
cello_A3_phrase_mezzo-forte_arco-staccato.mp3,,1347,68,G minor,6A
cello_A4_1_forte_arco-normal.mp3,,955,89,A minor,8A
cello_A4_1_fortissimo_arco-normal.mp3,,1223,94,A minor,8A
cello_A4_1_mezzo-forte_arco-harmonic.mp3,,1806,94,A minor,8A
cello_A4_1_mezzo-piano_arco-minor-trill.mp3,,1703,99,A minor,8A
cello_A4_1_mezzo-piano_arco-normal.mp3,,501,104,A minor,8A
cello_A4_1_mezzo-piano_molto-vibrato.mp3,,1689,107,A minor,8A
cello_A4_1_pianissimo_arco-normal.mp3,,170 1,78,A minor,8A
cello_A4_05_forte_arco-normal.mp3,,953,112,A minor,8A
cello_A4_05_mezzo-piano_arco-normal.mp3,,503,96,A minor,8A
cello_A4_05_pianissimo_arco-normal.mp3,,169 1,99,A minor,8A
cello_A4_15_forte_arco-normal.mp3,,956,91,A minor,8A
cello_A4_15_mezzo-piano_arco-normal.mp3,,460,103,A minor,8A
cello_A4_025_forte_arco-normal.mp3,,951,101,A minor,8A
cello_A4_025_fortissimo_arco-normal.mp3,,1222,107,A minor,8A
cello_A4_025_mezzo-forte_arco-col-legno-battuto.mp3,,1648,99,G major,9B
cello_A4_025_mezzo-piano_arco-normal.mp3,,502,107,A minor,8A
cello_A4_025_pianissimo_arco-normal.mp3,,168 1,115,A minor,8A
cello_A4_phrase_mezzo-forte_arco-detache.mp3,,1276,127,A minor,8A
cello_A4_phrase_mezzo-forte_arco-legato.mp3,,1318,71,A minor,8A
cello_A4_phrase_mezzo-forte_arco-spiccato.mp3,,1628,80,A minor,8A
cello_A4_phrase_mezzo-forte_arco-staccato.mp3,,1626,74,A minor,8A
cello_A5_1_forte_arco-normal.mp3,,759,89,D minor,7A
cello_A5_1_fortissimo_arco-normal.mp3,,1234,121,A minor,8A
cello_A5_1_mezzo-forte_arco-harmonic.mp3,,1800,116,A minor,8A
cello_A5_1_mezzo-piano_arco-normal.mp3,,545,144,D minor,7A
cello_A5_1_pianissimo_arco-normal.mp3,,267,104,D minor,7A
cello_A5_05_forte_arco-normal.mp3,,758,78,G minor,6A
cello_A5_05_fortissimo_arco-normal.mp3,,1233,96,D minor,7A
cello_A5_05_mezzo-piano_arco-normal.mp3,,544,130,A minor,8A
cello_A5_05_pianissimo_arco-normal.mp3,,266,147,D minor,7A
cello_A5_15_forte_arco-normal.mp3,,760,107,A major,11B
cello_A5_15_mezzo-piano_arco-normal.mp3,,546,104,A minor,8A
cello_A5_15_pianissimo_arco-normal.mp3,,268,127,D minor,7A
cello_A5_025_forte_arco-normal.mp3,,757,121,A minor,8A
cello_A5_025_fortissimo_arco-normal.mp3,,1232,150,A minor,8A
cello_A5_025_mezzo-piano_arco-normal.mp3,,543,84,A minor,8A
cello_A5_025_pianissimo_arco-normal.mp3,,223,88,D minor,7A
cello_As2_1_forte_arco-normal.mp3,,886,87,B♭ minor,3A
cello_As2_1_fortissimo_arco-normal.mp3,,997,96,B♭ major,6B
cello_As2_1_mezzo-piano_arco-minor-trill.mp3,,1700,107,B♭ major,6B
cello_As2_1_mezzo-piano_arco-normal.mp3,,407,78,B♭ minor,3A
cello_As2_1_mezzo-piano_molto-vibrato.mp3,,1692,89,B major,1B
cello_As2_1_mezzo-piano_non-vibrato.mp3,,1666,104,B♭ minor,3A
cello_As2_1_pianissimo_arco-normal.mp3,,72,89,B♭ minor,3A
cello_As2_05_forte_arco-normal.mp3,,885,107,B♭ minor,3A
cello_As2_05_fortissimo_arco-normal.mp3,,996,69,B♭ minor,3A
cello_As2_05_mezzo-piano_arco-normal.mp3,,406,107,B♭ major,6B
cello_As2_05_pianissimo_arco-normal.mp3,,71,107,B♭ minor,3A
cello_As2_15_forte_arco-normal.mp3,,631,107,B♭ minor,3A
cello_As2_15_fortissimo_arco-normal.mp3,,998,107,B♭ minor,3A
cello_As2_15_pianissimo_arco-normal.mp3,,73,117,B♭ minor,3A
cello_As2_15_piano_arco-normal.mp3,,347,107,B♭ major,6B
cello_As2_025_forte_arco-normal.mp3,,883,107,B♭ minor,3A
cello_As2_025_fortissimo_arco-normal.mp3,,995,71,B♭ major,6B
cello_As2_025_mezzo-forte_arco-col-legno-battuto.mp3,,1636,104,B♭ minor,3A
cello_As2_025_mezzo-piano_arco-normal.mp3,,404,133,B♭ minor,3A
cello_As2_025_pianissimo_arco-normal.mp3,,69,89,B♭ major,6B
cello_As3_1_forte_arco-normal.mp3,,936,89,B♭ major,6B
cello_As3_1_fortissimo_arco-normal.mp3,,1036,89,B♭ minor,3A
cello_As3_1_mezzo-piano_arco-normal.mp3,,465,87,B♭ minor,3A
cello_As3_1_pianissimo_arco-normal.mp3,,124 1,91,B♭ minor,3A
cello_As3_05_forte_arco-normal.mp3,,935,99,B♭ minor,3A
cello_As3_05_fortissimo_arco-normal.mp3,,1035,130,B♭ minor,3A
cello_As3_05_mezzo-piano_arco-normal.mp3,,441,134,B♭ minor,3A
cello_As3_05_pianissimo_arco-normal.mp3,,123 1,134,B♭ major,6B
cello_As3_15_forte_arco-normal.mp3,,655,104,B♭ minor,3A
cello_As3_15_fortissimo_arco-normal.mp3,,1037,144,B♭ minor,3A
cello_As3_15_mezzo-piano_arco-normal.mp3,,466,107,B♭ major,6B
cello_As3_15_pianissimo_arco-normal.mp3,,125 1,104,B♭ minor,3A
cello_As3_025_forte_arco-normal.mp3,,933,71,B♭ major,6B
cello_As3_025_fortissimo_arco-normal.mp3,,1034,103,B♭ minor,3A
cello_As3_025_mezzo-piano_arco-normal.mp3,,440,107,B♭ major,6B
cello_As3_025_pianissimo_arco-normal.mp3,,122 1,107,B♭ major,6B
cello_As4_1_forte_arco-normal.mp3,,707,107,G minor,6A
cello_As4_1_fortissimo_arco-normal.mp3,,1077,122,B♭ major,6B
cello_As4_1_mezzo-piano_arco-normal.mp3,,506,101,B♭ major,6B
cello_As4_1_pianissimo_arco-normal.mp3,,175 1,87,B♭ major,6B
cello_As4_05_forte_arco-normal.mp3,,706,109,B♭ minor,3A
cello_As4_05_fortissimo_arco-normal.mp3,,1076,113,B♭ major,6B
cello_As4_05_mezzo-piano_arco-normal.mp3,,505,135,B♭ minor,3A
cello_As4_05_pianissimo_arco-normal.mp3,,174 1,71,B♭ major,6B
cello_As4_15_forte_arco-normal.mp3,,708,80,B♭ major,6B
cello_As4_15_fortissimo_arco-normal.mp3,,1078,91,B♭ major,6B
cello_As4_15_mezzo-piano_arco-normal.mp3,,461,107,B♭ major,6B
cello_As4_15_pianissimo_arco-normal.mp3,,176 1,82,B♭ minor,3A
cello_As4_025_forte_arco-normal.mp3,,705,83,B♭ major,6B
cello_As4_025_fortissimo_arco-normal.mp3,,1075,89,B♭ major,6B
cello_As4_025_mezzo-piano_arco-normal.mp3,,504,127,A minor,8A
cello_As4_025_pianissimo_arco-normal.mp3,,173 1,71,B♭ major,6B
cello_As4_long_mezzo-forte_arco-harmonic.mp3,,1771,99,B♭ major,6B
cello_As5_1_forte_arco-normal.mp3,,763,96,B♭ major,6B
cello_As5_1_fortissimo_arco-normal.mp3,,1142,110,B♭ major,6B
cello_As5_1_mezzo-piano_arco-normal.mp3,,549,83,B♭ major,6B
cello_As5_1_pianissimo_arco-normal.mp3,,271,82,B♭ minor,3A
cello_As5_05_forte_arco-normal.mp3,,762,91,G minor,6A
cello_As5_05_fortissimo_arco-normal.mp3,,1145,91,D minor,7A
cello_As5_05_mezzo-piano_arco-normal.mp3,,548,103,B♭ major,6B
cello_As5_05_pianissimo_arco-normal.mp3,,270,118,B♭ major,6B
cello_As5_15_forte_arco-normal.mp3,,764,107,B♭ major,6B
cello_As5_15_fortissimo_arco-normal.mp3,,1143,117,D minor,7A
cello_As5_15_mezzo-piano_arco-normal.mp3,,550,100,F major,7B
cello_As5_15_pianissimo_arco-normal.mp3,,272,136,B♭ major,6B
