File,Artist,Title,BPM,Key,Camelot
clarinet_A3_1_forte_normal.mp3,,clarinet mono-569,99,A major,11B
clarinet_A3_1_fortissimo_normal.mp3,,clarinet mono-943,96,A major,11B
clarinet_A3_1_pianissimo_normal.mp3,,clarinet mono-109,85,A minor,8A
clarinet_A3_1_piano_normal.mp3,,clarinet mono-345,153,A major,11B
clarinet_A3_05_forte_normal.mp3,,clarinet mono-568,107,A major,11B
clarinet_A3_05_fortissimo_normal.mp3,,clarinet mono-942,107,A major,11B
clarinet_A3_05_pianissimo_normal.mp3,,clarinet mono-108,80,A major,11B
clarinet_A3_05_piano_normal.mp3,,clarinet mono-344,82,A minor,8A
clarinet_A3_15_forte_normal.mp3,,clarinet mono-570,96,A major,11B
clarinet_A3_15_fortissimo_normal.mp3,,clarinet mono-944,99,A minor,8A
clarinet_A3_15_pianissimo_normal.mp3,,clarinet mono-110,107,A major,11B
clarinet_A3_15_piano_normal.mp3,,clarinet mono-346,104,A major,11B
clarinet_A3_025_forte_normal.mp3,,clarinet mono-567,115,A major,11B
clarinet_A3_025_fortissimo_normal.mp3,,clarinet mono-941,78,A major,11B
clarinet_A3_025_pianissimo_normal.mp3,,clarinet mono-107,88,A minor,8A
clarinet_A3_025_piano_normal.mp3,,clarinet mono-343,115,D major,10B
clarinet_A3_phrase_mezzo-forte_fluttertonguing.mp3,,clarinet mono-1308,88,F major,7B
clarinet_A3_phrase_mezzo-forte_nonlegato.mp3,,clarinet mono-1226,83,D minor,7A
clarinet_A3_phrase_mezzo-forte_staccatissimo.mp3,,clarinet mono-1698,90,A minor,8A
clarinet_A3_phrase_mezzo-forte_staccato.mp3,,clarinet mono-1636,87,A minor,8A
clarinet_A3_phrase_mezzo-forte_tongued-slur.mp3,,clarinet mono-1160,78,D minor,7A
clarinet_A4_1_forte_normal.mp3,,clarinet mono-619,107,A minor,8A
clarinet_A4_1_fortissimo_normal.mp3,,clarinet mono-991,94,A major,11B
