File,Artist,Title,BPM,Key,Camelot
contrabassoon_A1_1_forte_normal.mp3,,0667,107,A major,11B
contrabassoon_A1_1_fortissimo_normal.mp3,,0886,104,A major,11B
contrabassoon_A1_1_mezzo-forte_normal.mp3,,0477,107,A major,11B
contrabassoon_A1_1_piano_normal.mp3,,0104,104,A major,11B
contrabassoon_A1_05_forte_normal.mp3,,0666,107,A major,11B
contrabassoon_A1_05_fortissimo_normal.mp3,,0885,107,A major,11B
contrabassoon_A1_05_mezzo-forte_normal.mp3,,0476,104,A major,11B
contrabassoon_A1_15_forte_normal.mp3,,0668,104,A major,11B
contrabassoon_A1_15_fortissimo_normal.mp3,,0887,107,A major,11B
contrabassoon_A1_15_mezzo-forte_normal.mp3,,0478,104,A major,11B
contrabassoon_A1_15_piano_normal.mp3,,0106,85,A major,11B
contrabassoon_A1_025_forte_normal.mp3,,0665,107,A major,11B
contrabassoon_A1_025_fortissimo_normal.mp3,,0884,107,A major,11B
contrabassoon_A1_025_mezzo-forte_normal.mp3,,0475,107,A major,11B
contrabassoon_A2_1_forte_normal.mp3,,0714,104,A minor,8A
contrabassoon_A2_1_fortissimo_normal.mp3,,0933,104,A major,11B
contrabassoon_A2_1_mezzo-forte_normal.mp3,,0534,94,A major,11B
contrabassoon_A2_1_piano_normal.mp3,,0213,104,A minor,8A
contrabassoon_A2_05_forte_normal.mp3,,0713,107,A major,11B
contrabassoon_A2_05_mezzo-forte_normal.mp3,,0533,107,A major,11B
contrabassoon_A2_15_forte_normal.mp3,,0715,91,A minor,8A
contrabassoon_A2_15_fortissimo_normal.mp3,,0934,107,A major,11B
contrabassoon_A2_15_mezzo-forte_normal.mp3,,0535,107,A major,11B
contrabassoon_A2_15_piano_normal.mp3,,0214,96,A minor,8A
contrabassoon_A2_025_forte_normal.mp3,,0712,107,A minor,8A
contrabassoon_A2_025_mezzo-forte_normal.mp3,,0532,99,A minor,8A
contrabassoon_A3_1_forte_normal.mp3,,0774,101,A minor,8A
contrabassoon_A3_1_fortissimo_normal.mp3,,1028,101,A minor,8A
contrabassoon_A3_1_mezzo-forte_normal.mp3,,0587,85,A minor,8A
contrabassoon_A3_1_piano_normal.mp3,,0337,101,A minor,8A
contrabassoon_A3_05_forte_normal.mp3,,0773,107,A minor,8A
contrabassoon_A3_05_fortissimo_normal.mp3,,1027 1,104,A minor,8A
contrabassoon_A3_05_mezzo-forte_normal.mp3,,0586,107,A major,11B
contrabassoon_A3_05_piano_normal.mp3,,0336,107,A minor,8A
contrabassoon_A3_15_forte_normal.mp3,,0775,132,A minor,8A
contrabassoon_A3_15_fortissimo_normal.mp3,,1029 1,107,A minor,8A
contrabassoon_A3_15_mezzo-forte_normal.mp3,,0588,107,A minor,8A
contrabassoon_A3_15_piano_normal.mp3,,0338,104,A minor,8A
contrabassoon_A3_025_forte_normal.mp3,,0772,107,A minor,8A
contrabassoon_A3_025_fortissimo_normal.mp3,,1026 1,135,A minor,8A
contrabassoon_A3_025_mezzo-forte_normal.mp3,,0585,107,A minor,8A
contrabassoon_A3_025_piano_normal.mp3,,0335,129,A minor,8A
contrabassoon_A3_very-long_forte_normal.mp3,,1257 1,142,A minor,8A
contrabassoon_A3_very-long_piano_normal.mp3,,1253,99,A minor,8A
contrabassoon_As0_1_forte_normal.mp3,,0619,96,B♭ major,6B
contrabassoon_As0_1_fortissimo_normal.mp3,,0824,107,B♭ major,6B
contrabassoon_As0_1_mezzo-forte_normal.mp3,,0433,107,B♭ major,6B
contrabassoon_As0_05_forte_normal.mp3,,0618,83,B♭ major,6B
contrabassoon_As0_05_mezzo-forte_normal.mp3,,0432,96,B♭ major,6B
contrabassoon_As0_15_forte_normal.mp3,,0620,104,B♭ major,6B
contrabassoon_As0_15_fortissimo_normal.mp3,,0825,104,B♭ major,6B
contrabassoon_As0_15_mezzo-forte_normal.mp3,,0434,107,B♭ major,6B
contrabassoon_As0_025_forte_normal.mp3,,0613,73,B♭ major,6B
contrabassoon_As0_025_mezzo-forte_normal.mp3,,0431,99,B♭ major,6B
contrabassoon_As0_long_forte_major-trill.mp3,,1277,101,C major,8B
contrabassoon_As0_long_forte_tremolo.mp3,,1275,87,C# major,
contrabassoon_As0_phrase_mezzo-forte_legato.mp3,,1113 1,123,B♭ major,6B
contrabassoon_As0_phrase_mezzo-forte_nonlegato.mp3,,1159,97,A minor,8A
contrabassoon_As0_phrase_mezzo-forte_staccatissimo.mp3,,1197 1,109,A minor,8A
contrabassoon_As0_phrase_mezzo-forte_staccato.mp3,,1177 1,104,A minor,8A
contrabassoon_As0_phrase_mezzo-forte_tenuto.mp3,,1127,124,E minor,9A
contrabassoon_As0_phrase_mezzo-forte_tongued-slur.mp3,,1141 1,106,A minor,8A
contrabassoon_As0_very-long_cresc-decresc_normal.mp3,,1236 1,89,B♭ major,6B
contrabassoon_As1_1_forte_normal.mp3,,0671,96,B♭ major,6B
contrabassoon_As1_1_fortissimo_normal.mp3,,0890,107,B♭ major,6B
contrabassoon_As1_1_mezzo-forte_normal.mp3,,0481,107,B♭ major,6B
contrabassoon_As1_1_piano_normal.mp3,,0115,89,B♭ major,6B
contrabassoon_As1_05_forte_normal.mp3,,0670,107,B♭ major,6B
contrabassoon_As1_05_fortissimo_normal.mp3,,0889,107,B♭ major,6B
contrabassoon_As1_05_mezzo-forte_normal.mp3,,0480,101,B♭ major,6B
contrabassoon_As1_05_piano_normal.mp3,,0110,99,B♭ major,6B
contrabassoon_As1_15_forte_normal.mp3,,0672,104,B♭ major,6B
contrabassoon_As1_15_fortissimo_normal.mp3,,0891,107,B♭ major,6B
contrabassoon_As1_15_mezzo-forte_normal.mp3,,0482,107,B♭ major,6B
contrabassoon_As1_15_piano_normal.mp3,,0116,101,B♭ major,6B
contrabassoon_As1_025_forte_normal.mp3,,0669,109,B♭ major,6B
contrabassoon_As1_025_fortissimo_normal.mp3,,0888,94,B♭ major,6B
contrabassoon_As1_025_mezzo-forte_normal.mp3,,0479,104,B♭ major,6B
contrabassoon_As1_025_piano_normal.mp3,,0109,104,B♭ major,6B
contrabassoon_As1_phrase_mezzo-forte_legato.mp3,,1119 1,94,F major,7B
contrabassoon_As1_phrase_mezzo-forte_nonlegato.mp3,,1165 1,99,F major,7B
