File,Artist,Title,BPM,Key,Camelot
double-bass_A1_1_forte_arco-normal.mp3,,Bass Mono-773,80,A minor,8A
double-bass_A1_1_fortissimo_arco-normal.mp3,,Bass Mono-1080,80,A minor,8A
double-bass_A1_1_mezzo-forte_arco-normal.mp3,,Bass Mono-541,107,A minor,8A
double-bass_A1_1_molto-pianissimo_arco-normal.mp3,,Bass Mono-33,80,A major,11B
double-bass_A1_1_pianissimo_arco-normal.mp3,,Bass Mono-161,87,A major,11B
double-bass_A1_1_piano_arco-normal.mp3,,Bass Mono-285,107,A major,11B
double-bass_A1_05_forte_arco-normal.mp3,,Bass Mono-772,80,A minor,8A
double-bass_A1_05_fortissimo_arco-normal.mp3,,Bass Mono-1020,101,A major,11B
double-bass_A1_05_mezzo-forte_arco-normal.mp3,,Bass Mono-540,83,A minor,8A
double-bass_A1_05_mezzo-piano_arco-normal.mp3,,Bass Mono-365,101,A minor,8A
double-bass_A1_05_molto-pianissimo_arco-normal.mp3,,Bass Mono-30,136,A major,11B
double-bass_A1_15_forte_arco-normal.mp3,,Bass Mono-774,85,A major,11B
double-bass_A1_15_mezzo-forte_arco-normal.mp3,,Bass Mono-542,87,A minor,8A
double-bass_A1_15_piano_arco-normal.mp3,,Bass Mono-286,107,A major,11B
double-bass_A1_025_forte_arco-normal.mp3,,Bass Mono-771,104,A major,11B
double-bass_A1_025_fortissimo_arco-normal.mp3,,Bass Mono-1019,87,A major,11B
double-bass_A1_025_mezzo-forte_arco-normal.mp3,,Bass Mono-539,104,A minor,8A
double-bass_A1_025_mezzo-piano_arco-normal.mp3,,Bass Mono-364,127,A major,11B
double-bass_A1_025_molto-pianissimo_arco-normal.mp3,,Bass Mono-29,107,A minor,8A
double-bass_A1_025_piano_pizz-normal.mp3,,Bass Mono-1445,94,A minor,8A
double-bass_A1_phrase_cresc-decresc_arco-normal.mp3,,Bass Mono-1562,117,F major,7B
double-bass_A1_phrase_mezzo-forte_arco-detache.mp3,,Bass Mono-1294,134,A minor,8A
double-bass_A1_phrase_mezzo-forte_arco-legato.mp3,,Bass Mono-1308,121,A minor,8A
double-bass_A1_phrase_mezzo-forte_arco-martele.mp3,,Bass Mono-1320,74,A minor,8A
double-bass_A1_phrase_mezzo-forte_arco-portato.mp3,,Bass Mono-1368,107,E major,12B
double-bass_A1_phrase_mezzo-forte_arco-spiccato.mp3,,Bass Mono-1344,83,A minor,8A
double-bass_A1_phrase_mezzo-forte_arco-staccato.mp3,,Bass Mono-1332,78,A minor,8A
double-bass_A1_phrase_mezzo-forte_arco-tenuto.mp3,,Bass Mono-1356,83,A minor,8A
double-bass_A1_phrase_mezzo-forte_arco-tremolo.mp3,,Bass Mono-1380,119,F major,7B
double-bass_A1_phrase_piano_arco-normal.mp3,,Bass Mono-1552,77,F major,7B
double-bass_A1_phrase_piano_natural-harmonic.mp3,,Bass Mono-1478,79,A major,11B
double-bass_A2_1_forte_arco-normal.mp3,,Bass Mono-869,104,A major,11B
double-bass_A2_1_fortissimo_arco-normal.mp3,,Bass Mono-1120,107,A minor,8A
double-bass_A2_1_mezzo-forte_arco-normal.mp3,,Bass Mono-574,85,A major,11B
double-bass_A2_1_mezzo-piano_arco-normal.mp3,,Bass Mono-388,107,A minor,8A
double-bass_A2_1_molto-pianissimo_arco-normal.mp3,,Bass Mono-80,104,A major,11B
double-bass_A2_05_forte_arco-normal.mp3,,Bass Mono-868,91,A major,11B
double-bass_A2_05_fortissimo_arco-normal.mp3,,Bass Mono-1047,107,A minor,8A
double-bass_A2_05_mezzo-forte_arco-normal.mp3,,Bass Mono-626,99,A major,11B
double-bass_A2_05_molto-pianissimo_arco-normal.mp3,,Bass Mono-79,107,A major,11B
double-bass_A2_05_piano_arco-normal.mp3,,Bass Mono-328,107,A major,11B
double-bass_A2_15_forte_arco-normal.mp3,,Bass Mono-870,104,A major,11B
double-bass_A2_15_mezzo-piano_arco-normal.mp3,,Bass Mono-389,129,A major,11B
double-bass_A2_15_molto-pianissimo_arco-normal.mp3,,Bass Mono-81,91,A major,11B
double-bass_A2_025_forte_arco-normal.mp3,,Bass Mono-867,107,A major,11B
double-bass_A2_025_fortissimo_arco-normal.mp3,,Bass Mono-1046,107,A major,11B
double-bass_A2_025_molto-pianissimo_arco-normal.mp3,,Bass Mono-78,134,A major,11B
double-bass_A2_025_piano_arco-normal.mp3,,Bass Mono-327,101,A minor,8A
double-bass_A2_025_piano_pizz-normal.mp3,,Bass Mono-1444,96,A minor,8A
double-bass_A2_phrase_cresc-decresc_arco-normal.mp3,,Bass Mono-1555,86,A minor,8A
double-bass_A3_1_forte_arco-normal.mp3,,Bass Mono-940,114,A minor,8A
double-bass_A3_1_fortissimo_arco-normal.mp3,,Bass Mono-1187,99,A minor,8A
double-bass_A3_1_mezzo-forte_arco-normal.mp3,,Bass Mono-690,125,A minor,8A
double-bass_A3_1_mezzo-piano_arco-normal.mp3,,Bass Mono-446,144,A minor,8A
double-bass_A3_1_molto-pianissimo_arco-normal.mp3,,Bass Mono-130,101,A minor,8A
double-bass_A3_1_pianissimo_arco-normal.mp3,,Bass Mono-223,80,A minor,8A
double-bass_A3_05_forte_arco-normal.mp3,,Bass Mono-939,107,A minor,8A
double-bass_A3_05_fortissimo_arco-normal.mp3,,Bass Mono-1185,107,A minor,8A
double-bass_A3_05_mezzo-forte_arco-normal.mp3,,Bass Mono-697,94,A minor,8A
double-bass_A3_05_mezzo-piano_arco-normal.mp3,,Bass Mono-445,107,A minor,8A
double-bass_A3_15_forte_arco-normal.mp3,,Bass Mono-821,107,A minor,8A
