File,Artist,Title,BPM,Key,Camelot
flute_A4_1_forte_normal.mp3,,581,80,A minor,8A
flute_A4_1_mezzo-forte_normal.mp3,,1128 1,78,A minor,8A
flute_A4_1_mezzo-piano_normal.mp3,,478 1,80,A minor,8A
flute_A4_1_pianissimo_normal.mp3,,301,101,A major,11B
flute_A4_1_piano_normal.mp3,,1309 1,101,A minor,8A
flute_A4_05_forte_normal.mp3,,580,107,A minor,8A
flute_A4_05_mezzo-forte_normal.mp3,,1127 1,124,A minor,8A
flute_A4_05_mezzo-piano_normal.mp3,,477 1,83,A minor,8A
flute_A4_05_pianissimo_normal.mp3,,307,104,A minor,8A
flute_A4_05_piano_normal.mp3,,104 1,99,A minor,8A
flute_A4_15_forte_normal.mp3,,588 1,104,A minor,8A
flute_A4_15_mezzo-forte_normal.mp3,,1129 2,150,A minor,8A
flute_A4_15_mezzo-piano_normal.mp3,,479 1,85,A minor,8A
flute_A4_15_pianissimo_normal.mp3,,309 1,147,A minor,8A
flute_A4_15_piano_normal.mp3,,1310,99,A minor,8A
flute_A4_025_forte_normal.mp3,,579,147,A minor,8A
flute_A4_025_mezzo-forte_normal.mp3,,1126 1,101,A minor,8A
flute_A4_025_mezzo-piano_normal.mp3,,476,123,A minor,8A
flute_A4_025_pianissimo_normal.mp3,,299,83,A minor,8A
flute_A4_025_piano_normal.mp3,,103 1,80,A minor,8A
flute_A4_long_mezzo-forte_major-trill.mp3,,941 1,94,A minor,8A
flute_A4_long_mezzo-forte_minor-trill.mp3,,940 1,96,B♭ major,6B
flute_A4_phrase_mezzo-forte_normal.mp3,,0,130,A minor,8A
flute_A4_very-long_cresc-decresc_normal.mp3,,1368 1,119,A minor,8A
flute_A5_1_forte_normal.mp3,,655 1,83,A minor,8A
flute_A5_1_mezzo-forte_normal.mp3,,1268,83,A minor,8A
flute_A5_1_mezzo-piano_normal.mp3,,526 1,153,A minor,8A
flute_A5_1_pianissimo_normal.mp3,,365 1,142,A minor,8A
flute_A5_1_piano_normal.mp3,,153 2,107,A minor,8A
flute_A5_05_forte_normal.mp3,,654,107,A minor,8A
flute_A5_05_mezzo-forte_normal.mp3,,1179 1,109,A minor,8A
flute_A5_05_mezzo-piano_normal.mp3,,525 1,118,A minor,8A
flute_A5_05_pianissimo_normal.mp3,,364 1,153,A minor,8A
flute_A5_05_piano_normal.mp3,,152 2,107,A minor,8A
flute_A5_15_forte_normal.mp3,,656 1,94,A minor,8A
flute_A5_15_mezzo-forte_normal.mp3,,1181 2,87,A minor,8A
flute_A5_15_mezzo-piano_normal.mp3,,527 1,153,A minor,8A
flute_A5_15_pianissimo_normal.mp3,,366,85,A minor,8A
flute_A5_15_piano_normal.mp3,,154 2,80,A minor,8A
flute_A5_025_forte_normal.mp3,,653 1,82,A minor,8A
flute_A5_025_mezzo-forte_normal.mp3,,1178 1,144,A minor,8A
flute_A5_025_mezzo-piano_normal.mp3,,524 1,89,A minor,8A
flute_A5_025_pianissimo_normal.mp3,,363,101,A minor,8A
flute_A5_025_piano_normal.mp3,,166 2,85,A minor,8A
flute_A5_long_mezzo-forte_major-trill.mp3,,932,94,A minor,8A
flute_A5_long_mezzo-forte_minor-trill.mp3,,931 1,94,B♭ major,6B
flute_A5_long_piano_normal.mp3,,865 1,136,A minor,8A
flute_A5_phrase_mezzo-forte_double-tonguing.mp3,,772,127,A minor,8A
flute_A5_phrase_mezzo-forte_fluttertonguing.mp3,,852,134,D major,10B
flute_A5_phrase_mezzo-forte_nonlegato.mp3,,778,91,A minor,8A
flute_A5_phrase_mezzo-forte_staccatissimo.mp3,,812,101,A minor,8A
flute_A5_phrase_mezzo-forte_staccato.mp3,,799,101,A minor,8A
flute_A5_phrase_mezzo-forte_tenuto.mp3,,802,127,A minor,8A
flute_A5_phrase_mezzo-forte_tongued-slur.mp3,,844 1,118,A major,11B
flute_A5_phrase_mezzo-forte_triple-tonguing.mp3,,836,126,D minor,7A
flute_A5_very-long_cresc-decresc_normal.mp3,,1372,76,A minor,8A
flute_A6_1_forte_normal.mp3,,1045 1,83,A minor,8A
flute_A6_1_fortissimo_minor-trill.mp3,,947 1,107,A minor,8A
flute_A6_1_mezzo-forte_normal.mp3,,1223 2,82,A major,11B
flute_A6_1_pianissimo_normal.mp3,,415,94,A minor,8A
flute_A6_1_piano_normal.mp3,,226 1,142,A minor,8A
flute_A6_05_forte_normal.mp3,,1044 2,107,A minor,8A
flute_A6_05_mezzo-forte_normal.mp3,,1222 2,114,A minor,8A
flute_A6_05_pianissimo_normal.mp3,,414 1,107,A minor,8A
flute_A6_05_piano_normal.mp3,,225 1,121,A major,11B
flute_A6_15_forte_normal.mp3,,708 1,85,D minor,7A
flute_A6_15_mezzo-forte_normal.mp3,,46 1,153,A major,11B
flute_A6_15_pianissimo_normal.mp3,,416 1,94,A minor,8A
flute_A6_15_piano_normal.mp3,,227,142,A major,11B
flute_A6_025_forte_normal.mp3,,1043,139,A minor,8A
flute_A6_025_mezzo-forte_normal.mp3,,1221 2,107,B minor,10A
flute_A6_025_pianissimo_normal.mp3,,413,153,A minor,8A
flute_A6_025_piano_normal.mp3,,224 1,153,A minor,8A
flute_A6_long_fortissimo_major-trill.mp3,,946 1,94,A minor,8A
flute_A6_long_mezzo-forte_minor-trill.mp3,,939,121,A minor,8A
flute_A6_long_piano_normal.mp3,,894,91,A minor,8A
flute_A6_very-long_cresc-decresc_normal.mp3,,1376,88,A minor,8A
flute_As4_1_forte_normal.mp3,,591,107,B♭ minor,3A
flute_As4_1_mezzo-forte_normal.mp3,,1132 1,85,B♭ major,6B
flute_As4_1_mezzo-piano_normal.mp3,,482 1,96,B♭ minor,3A
flute_As4_1_pianissimo_normal.mp3,,312 1,87,B♭ major,6B
flute_As4_1_piano_normal.mp3,,1313,144,B♭ major,6B
flute_As4_05_forte_normal.mp3,,590 1,133,B♭ major,6B
flute_As4_05_mezzo-forte_normal.mp3,,1131 2,125,B♭ major,6B
flute_As4_05_mezzo-piano_normal.mp3,,481,83,B♭ minor,3A
flute_As4_05_pianissimo_normal.mp3,,973 1,142,E♭ major,5B
flute_As4_05_piano_normal.mp3,,108 1,107,B♭ major,6B
flute_As4_15_forte_normal.mp3,,592 1,82,B♭ major,6B
flute_As4_15_mezzo-forte_normal.mp3,,1133 2,119,B♭ major,6B
flute_As4_15_mezzo-forte_tremolo.mp3,,914,109,D minor,7A
flute_As4_15_mezzo-piano_normal.mp3,,483,89,B♭ minor,3A
flute_As4_15_pianissimo_normal.mp3,,313 1,121,B♭ minor,3A
flute_As4_15_piano_normal.mp3,,1314,91,B♭ major,6B
flute_As4_025_forte_normal.mp3,,589 1,132,B♭ minor,3A
flute_As4_025_mezzo-forte_normal.mp3,,1130 1,132,A minor,8A
flute_As4_025_mezzo-piano_normal.mp3,,480 1,136,B♭ major,6B
flute_As4_025_pianissimo_normal.mp3,,972 1,96,B♭ minor,3A
flute_As4_025_piano_normal.mp3,,107 1,150,B♭ major,6B
flute_As4_long_mezzo-forte_tremolo.mp3,,911,106,D minor,7A
flute_As5_1_forte_normal.mp3,,659 1,82,B♭ major,6B
flute_As5_1_mezzo-forte_normal.mp3,,1272,83,D minor,7A
flute_As5_1_mezzo-piano_normal.mp3,,530 1,82,B♭ major,6B
flute_As5_1_pianissimo_normal.mp3,,369 1,107,D minor,7A
flute_As5_1_piano_normal.mp3,,172 1,80,B♭ major,6B
flute_As5_05_forte_normal.mp3,,658 1,119,B♭ major,6B
flute_As5_05_mezzo-forte_normal.mp3,,1271 1,107,B♭ minor,3A
flute_As5_05_mezzo-piano_normal.mp3,,529 1,107,B♭ minor,3A
flute_As5_05_pianissimo_normal.mp3,,368 1,89,A minor,8A
flute_As5_05_piano_normal.mp3,,156 2,89,B♭ minor,3A
flute_As5_15_forte_normal.mp3,,660 1,96,B♭ major,6B
flute_As5_15_mezzo-forte_normal.mp3,,1185 2,107,B♭ major,6B
flute_As5_15_mezzo-piano_normal.mp3,,531 1,142,B♭ minor,3A
flute_As5_15_pianissimo_normal.mp3,,370 1,107,A minor,8A
flute_As5_15_piano_normal.mp3,,173 2,142,B♭ major,6B
flute_As5_025_forte_normal.mp3,,657 1,150,B♭ minor,3A
flute_As5_025_mezzo-forte_normal.mp3,,1182 1,153,B♭ major,6B
flute_As5_025_mezzo-piano_normal.mp3,,528 1,125,A minor,8A
flute_As5_025_pianissimo_normal.mp3,,367 1,83,A minor,8A
flute_As5_025_piano_normal.mp3,,155 2,153,B♭ major,6B
flute_As5_long_piano_normal.mp3,,867 1,85,A minor,8A
flute_As6_1_forte_normal.mp3,,711 1,83,A minor,8A
flute_As6_1_mezzo-forte_normal.mp3,,49 1,150,A major,11B
flute_As6_1_pianissimo_normal.mp3,,419 1,87,A major,11B
flute_As6_1_piano_normal.mp3,,230,107,A minor,8A
flute_As6_05_forte_normal.mp3,,1047 2,139,A minor,8A
flute_As6_05_mezzo-forte_normal.mp3,,1226 2,80,A minor,8A
flute_As6_05_pianissimo_normal.mp3,,996 1,106,A minor,8A
flute_As6_05_piano_normal.mp3,,229,80,A major,11B
flute_As6_15_forte_normal.mp3,,1049 2,150,A minor,8A
flute_As6_15_mezzo-forte_normal.mp3,,1228 2,99,D minor,7A
flute_As6_15_pianissimo_normal.mp3,,420 1,91,A major,11B
flute_As6_15_piano_normal.mp3,,231,136,A minor,8A
flute_As6_025_forte_normal.mp3,,1046 2,153,A major,11B
flute_As6_025_mezzo-forte_normal.mp3,,47 1,147,A major,11B
flute_As6_025_pianissimo_normal.mp3,,994 1,107,A minor,8A
flute_As6_025_piano_normal.mp3,,228,142,A minor,8A
flute_B4_1_forte_normal.mp3,,595,83,B minor,10A
flute_B4_1_mezzo-forte_normal.mp3,,1136 2,150,B minor,10A
flute_B4_1_mezzo-piano_normal.mp3,,486 1,78,B minor,10A
flute_B4_1_pianissimo_normal.mp3,,320,104,B minor,10A
flute_B4_1_piano_normal.mp3,,113 1,104,B minor,10A
flute_B4_05_forte_normal.mp3,,594 1,107,B minor,10A
flute_B4_05_mezzo-forte_normal.mp3,,1135 2,82,B minor,10A
flute_B4_05_mezzo-piano_normal.mp3,,485,107,B minor,10A
flute_B4_05_pianissimo_normal.mp3,,319,94,A minor,8A
flute_B4_05_piano_normal.mp3,,112 1,107,B minor,10A
flute_B4_15_forte_normal.mp3,,596 1,80,B minor,10A
flute_B4_15_mezzo-forte_normal.mp3,,1137 1,107,B minor,10A
flute_B4_15_mezzo-piano_normal.mp3,,487,153,B minor,10A
flute_B4_15_pianissimo_normal.mp3,,321 1,104,A minor,8A
flute_B4_15_piano_normal.mp3,,1318 1,150,A major,11B
flute_B4_025_forte_normal.mp3,,593,142,B minor,10A
flute_B4_025_mezzo-forte_normal.mp3,,1134 1,142,A major,11B
flute_B4_025_mezzo-piano_normal.mp3,,484 1,136,B minor,10A
flute_B4_025_pianissimo_normal.mp3,,314 1,112,A minor,8A
flute_B4_025_piano_normal.mp3,,111,87,A major,11B
flute_B5_1_forte_normal.mp3,,663 1,80,A major,11B
flute_B5_1_mezzo-forte_normal.mp3,,1188 1,107,B minor,10A
flute_B5_1_mezzo-piano_normal.mp3,,534 1,147,A major,11B
flute_B5_1_pianissimo_normal.mp3,,990 1,83,D major,10B
flute_B5_1_piano_normal.mp3,,176 2,101,B minor,10A
flute_B5_05_forte_normal.mp3,,662 1,113,A minor,8A
flute_B5_05_mezzo-forte_normal.mp3,,1187 2,115,B minor,10A
flute_B5_05_mezzo-piano_normal.mp3,,533 1,100,A major,11B
flute_B5_05_pianissimo_normal.mp3,,989 1,96,A minor,8A
flute_B5_05_piano_normal.mp3,,175 2,107,A minor,8A
flute_B5_15_forte_normal.mp3,,664 1,80,B minor,10A
flute_B5_15_mezzo-forte_normal.mp3,,8,83,A minor,8A
flute_B5_15_mezzo-piano_normal.mp3,,535 1,153,A minor,8A
flute_B5_15_piano_normal.mp3,,162 1,104,A minor,8A
flute_B5_025_forte_normal.mp3,,661 1,85,A minor,8A
flute_B5_025_mezzo-forte_normal.mp3,,1186 1,85,A major,11B
flute_B5_025_mezzo-piano_normal.mp3,,532 1,127,A minor,8A
flute_B5_025_pianissimo_normal.mp3,,988 1,107,D major,10B
flute_B5_025_piano_normal.mp3,,174 2,82,D major,10B
flute_B5_long_piano_normal.mp3,,868,115,A minor,8A
flute_B6_1_forte_normal.mp3,,1244 1,101,B minor,10A
flute_B6_1_mezzo-forte_normal.mp3,,53 1,91,A minor,8A
flute_B6_1_pianissimo_normal.mp3,,430 1,82,A minor,8A
flute_B6_1_piano_normal.mp3,,234,107,A major,11B
flute_B6_05_forte_normal.mp3,,1051 2,122,D major,10B
flute_B6_05_mezzo-forte_normal.mp3,,1230 2,122,A minor,8A
flute_B6_05_pianissimo_normal.mp3,,422 1,107,A major,11B
flute_B6_05_piano_normal.mp3,,233,70,B minor,10A
flute_B6_15_forte_normal.mp3,,1053,147,A major,11B
flute_B6_15_mezzo-forte_normal.mp3,,54,80,A major,11B
flute_B6_15_pianissimo_normal.mp3,,424 1,82,A minor,8A
flute_B6_15_piano_normal.mp3,,249,87,A minor,8A
flute_B6_025_forte_normal.mp3,,1050 1,99,A minor,8A
flute_B6_025_mezzo-forte_normal.mp3,,51 1,79,A major,11B
flute_B6_025_pianissimo_normal.mp3,,421 1,153,A minor,8A
flute_B6_025_piano_normal.mp3,,232,87,A minor,8A
flute_B6_long_fortissimo_minor-trill.mp3,,948 1,85,D major,10B
flute_C4_1_forte_normal.mp3,,545 1,107,C major,8B
flute_C4_1_mezzo-forte_normal.mp3,,1092 1,80,C major,8B
flute_C4_1_mezzo-piano_normal.mp3,,442 1,85,C major,8B
flute_C4_1_pianissimo_normal.mp3,,276 1,94,C major,8B
flute_C4_1_piano_normal.mp3,,1275 1,142,C major,8B
flute_C4_05_forte_normal.mp3,,544 1,82,C major,8B
flute_C4_05_mezzo-forte_normal.mp3,,1091 1,87,C major,8B
flute_C4_05_mezzo-piano_normal.mp3,,441 1,106,C major,8B
flute_C4_05_pianissimo_normal.mp3,,275 1,107,F major,7B
flute_C4_05_piano_normal.mp3,,68 1,104,C major,8B
flute_C4_15_forte_normal.mp3,,546 1,82,C major,8B
flute_C4_15_mezzo-forte_normal.mp3,,1084 1,147,C major,8B
flute_C4_15_mezzo-piano_normal.mp3,,443 1,101,C major,8B
flute_C4_15_pianissimo_normal.mp3,,277 1,107,C major,8B
flute_C4_15_piano_normal.mp3,,1276 1,107,C major,8B
flute_C4_025_forte_normal.mp3,,543 1,82,C major,8B
flute_C4_025_mezzo-forte_normal.mp3,,1081 1,129,C major,8B
flute_C4_025_mezzo-piano_normal.mp3,,440 1,107,C major,8B
flute_C4_025_pianissimo_normal.mp3,,274 1,123,A minor,8A
flute_C4_025_piano_normal.mp3,,67 1,114,C major,8B
flute_C4_long_mezzo-forte_tremolo.mp3,,909 1,119,C major,8B
flute_C4_phrase_mezzo-forte_double-tonguing.mp3,,814,107,D major,10B
flute_C4_phrase_mezzo-forte_fluttertonguing.mp3,,846 1,134,D major,10B
flute_C4_phrase_mezzo-forte_legato.mp3,,745,99,D major,10B
flute_C4_phrase_mezzo-forte_nonlegato.mp3,,774,113,D major,10B
flute_C4_phrase_mezzo-forte_staccato.mp3,,804,93,D major,10B
flute_C4_phrase_mezzo-forte_tenuto.mp3,,789,116,D major,10B
flute_C4_phrase_mezzo-forte_tongued-slur.mp3,,752 1,85,D major,10B
flute_C4_phrase_mezzo-forte_triple-tonguing.mp3,,828 1,83,D major,10B
flute_C4_very-long_cresc-decresc_normal.mp3,,895 1,124,C major,8B
flute_C5_1_forte_normal.mp3,,599,80,A minor,8A
flute_C5_1_mezzo-forte_normal.mp3,,1140 1,82,A minor,8A
flute_C5_1_mezzo-piano_normal.mp3,,490 1,80,C major,8B
flute_C5_1_pianissimo_normal.mp3,,325,78,F major,7B
flute_C5_1_piano_normal.mp3,,117 1,153,A minor,8A
flute_C5_05_forte_normal.mp3,,598 1,106,C major,8B
flute_C5_05_mezzo-forte_normal.mp3,,1139 1,118,D minor,7A
flute_C5_05_mezzo-piano_normal.mp3,,489 1,83,D minor,7A
flute_C5_05_pianissimo_normal.mp3,,324 1,107,C major,8B
flute_C5_05_piano_normal.mp3,,1320,107,A minor,8A
flute_C5_15_forte_normal.mp3,,600 1,107,C major,8B
flute_C5_15_mezzo-forte_normal.mp3,,1141 2,80,A minor,8A
flute_C5_15_mezzo-piano_normal.mp3,,491 1,99,A minor,8A
flute_C5_15_pianissimo_normal.mp3,,326 1,99,A minor,8A
flute_C5_15_piano_normal.mp3,,1322 1,147,A minor,8A
flute_C5_025_forte_normal.mp3,,597,80,C major,8B
flute_C5_025_mezzo-forte_normal.mp3,,1138,132,A major,11B
flute_C5_025_mezzo-piano_normal.mp3,,488 1,80,A minor,8A
flute_C5_025_pianissimo_normal.mp3,,323,132,D minor,7A
flute_C5_025_piano_normal.mp3,,115 1,147,F major,7B
flute_C5_long_mezzo-forte_major-trill.mp3,,930,83,D minor,7A
flute_C5_long_mezzo-forte_minor-trill.mp3,,929 1,127,A major,11B
flute_C5_long_piano_normal.mp3,,854,71,A minor,8A
flute_C5_phrase_mezzo-forte_double-tonguing.mp3,,817,114,A minor,8A
flute_C5_phrase_mezzo-forte_fluttertonguing.mp3,,849,129,A minor,8A
flute_C5_phrase_mezzo-forte_legato.mp3,,748,109,D minor,7A
flute_C5_phrase_mezzo-forte_nonlegato.mp3,,777,88,A minor,8A
flute_C5_phrase_mezzo-forte_staccatissimo.mp3,,808,101,A minor,8A
flute_C5_phrase_mezzo-forte_staccato.mp3,,796,97,A minor,8A
flute_C5_phrase_mezzo-forte_tenuto.mp3,,801,91,A minor,8A
flute_C5_phrase_mezzo-forte_tongued-slur.mp3,,755 1,96,A minor,8A
flute_C5_phrase_mezzo-forte_triple-tonguing.mp3,,833,94,D minor,7A
flute_C5_very-long_cresc-decresc_normal.mp3,,1369 1,139,A minor,8A
flute_C6_1_forte_normal.mp3,,667 1,83,D minor,7A
flute_C6_1_mezzo-forte_normal.mp3,,1192 1,82,C major,8B
