File,Artist,Title,BPM,Key,Camelot
guitar_A2_very-long_forte_normal.mp3,,042,136,A minor,8A
guitar_A2_very-long_piano_normal.mp3,,008,99,A minor,8A
guitar_A3_very-long_forte_harmonics.mp3,,087,85,A minor,8A
guitar_A3_very-long_forte_normal.mp3,,055,69,A minor,8A
guitar_A3_very-long_pianissimo_harmonics.mp3,,081,80,A minor,8A
guitar_A3_very-long_piano_harmonics.mp3,,112 2,101,A minor,8A
guitar_A3_very-long_piano_normal.mp3,,020,83,A minor,8A
guitar_A4_very-long_forte_harmonics.mp3,,098,89,A minor,8A
guitar_A4_very-long_forte_normal.mp3,,067,104,A minor,8A
guitar_A4_very-long_piano_harmonics.mp3,,104 2,85,A minor,8A
guitar_A4_very-long_piano_normal.mp3,,030,104,A minor,8A
guitar_As2_very-long_forte_normal.mp3,,043,107,B♭ minor,3A
guitar_As2_very-long_piano_normal.mp3,,009,104,B♭ minor,3A
guitar_As3_very-long_forte_normal.mp3,,056,95,B♭ major,6B
guitar_As3_very-long_piano_normal.mp3,,021,107,B♭ major,6B
guitar_As4_very-long_forte_normal.mp3,,068,127,A minor,8A
guitar_As4_very-long_piano_normal.mp3,,031,104,A minor,8A
guitar_B2_very-long_forte_normal.mp3,,044,107,B minor,10A
guitar_B2_very-long_piano_normal.mp3,,010,104,B minor,10A
guitar_B3_very-long_forte_normal.mp3,,057,107,B minor,10A
guitar_B3_very-long_piano_harmonics.mp3,,110 2,104,B minor,10A
guitar_B3_very-long_piano_normal.mp3,,022,101,G major,9B
guitar_B4_very-long_forte_harmonics.mp3,,084,91,B minor,10A
guitar_B4_very-long_forte_normal.mp3,,069,107,B minor,10A
guitar_B4_very-long_pianissimo_harmonics.mp3,,078,129,A major,11B
guitar_B4_very-long_piano_normal.mp3,,032,99,A minor,8A
guitar_B5_very-long_forte_harmonics.mp3,,095,142,A minor,8A
guitar_B5_very-long_piano_harmonics.mp3,,101 2,99,A minor,8A
guitar_C3_very-long_forte_normal.mp3,,045,107,C major,8B
guitar_C3_very-long_piano_normal.mp3,,011,107,C major,8B
guitar_C4_very-long_forte_normal.mp3,,058,104,C major,8B
guitar_C4_very-long_piano_harmonics.mp3,,113 2,94,C major,8B
guitar_C5_very-long_piano_harmonics.mp3,,118 2,107,A minor,8A
guitar_C6_very-long_piano_normal.mp3,,036,107,A minor,8A
guitar_Cs3_very-long_forte_normal.mp3,,046,91,C# minor,
guitar_Cs3_very-long_piano_normal.mp3,,012,99,C# minor,
guitar_Cs4_very-long_forte_normal.mp3,,059,89,A major,11B
guitar_D3_very-long_forte_normal.mp3,,047,96,D minor,7A
guitar_D3_very-long_piano_normal.mp3,,013,101,D minor,7A
guitar_D4_very-long_forte_harmonics.mp3,,086,107,D minor,7A
guitar_D4_very-long_forte_normal.mp3,,060,125,D minor,7A
guitar_D4_very-long_pianissimo_harmonics.mp3,,080,87,D major,10B
guitar_D4_very-long_piano_normal.mp3,,023,107,D minor,7A
guitar_D5_very-long_forte_harmonics.mp3,,097,107,D minor,7A
guitar_D5_very-long_forte_normal.mp3,,070,147,D minor,7A
guitar_D5_very-long_piano_harmonics.mp3,,103 2,83,D major,10B
guitar_D5_very-long_piano_normal.mp3,,033,101,D minor,7A
guitar_Ds3_very-long_forte_normal.mp3,,049,88,E♭ minor,2A
guitar_Ds3_very-long_piano_normal.mp3,,014,94,E♭ minor,2A
guitar_Ds4_very-long_forte_normal.mp3,,061,107,E♭ major,5B
guitar_Ds4_very-long_piano_harmonics.mp3,,114 2,101,E♭ major,5B
guitar_Ds4_very-long_piano_normal.mp3,,024,94,E♭ major,5B
guitar_Ds5_very-long_forte_normal.mp3,,071,107,A minor,8A
guitar_Ds5_very-long_piano_normal.mp3,,034,85,E♭ major,5B
guitar_E2_very-long_forte_normal.mp3,,037,107,E major,12B
guitar_E2_very-long_piano_normal.mp3,,000,99,E major,12B
guitar_E3_very-long_forte_harmonics.mp3,,088,101,E minor,9A
guitar_E3_very-long_forte_normal.mp3,,050,107,E minor,9A
guitar_E3_very-long_pianissimo_harmonics.mp3,,082,142,E minor,9A
guitar_E3_very-long_piano_normal.mp3,,015,101,E minor,9A
guitar_E4_very-long_forte_harmonics.mp3,,099,78,A minor,8A
guitar_E4_very-long_forte_normal.mp3,,062,107,A minor,8A
guitar_E4_very-long_piano_harmonics.mp3,,093,107,A minor,8A
guitar_E4_very-long_piano_normal.mp3,,025,91,A minor,8A
guitar_E5_very-long_forte_harmonics.mp3,,083,144,A minor,8A
guitar_E5_very-long_forte_normal.mp3,,073,94,A minor,8A
guitar_E5_very-long_pianissimo_harmonics.mp3,,077,115,A minor,8A
guitar_E5_very-long_piano_harmonics.mp3,,107 2,107,D major,10B
guitar_E5_very-long_piano_normal.mp3,,035,107,A minor,8A
guitar_E6_very-long_forte_harmonics.mp3,,094,134,A minor,8A
guitar_E6_very-long_piano_harmonics.mp3,,100 2,107,A minor,8A
guitar_F2_very-long_forte_normal.mp3,,038,104,F major,7B
guitar_F2_very-long_piano_normal.mp3,,001,104,F major,7B
guitar_F3_very-long_forte_normal.mp3,,051,83,F major,7B
guitar_F3_very-long_piano_normal.mp3,,016,94,F major,7B
guitar_F4_very-long_forte_normal.mp3,,063,107,F major,7B
guitar_F4_very-long_piano_harmonics.mp3,,115 2,82,F major,7B
guitar_F4_very-long_piano_normal.mp3,,026,107,F major,7B
guitar_Fs2_very-long_forte_normal.mp3,,039,99,F# minor,
guitar_Fs2_very-long_piano_normal.mp3,,002,150,F# minor,
guitar_Fs3_very-long_forte_normal.mp3,,052,101,B minor,10A
guitar_Fs3_very-long_piano_normal.mp3,,017,107,F# minor,
guitar_Fs4_very-long_forte_normal.mp3,,064,104,F# minor,
guitar_Fs4_very-long_piano_harmonics.mp3,,116 2,104,A major,11B
guitar_Fs4_very-long_piano_normal.mp3,,027,107,A major,11B
guitar_Fs5_very-long_piano_harmonics.mp3,,102 2,90,A major,11B
guitar_G2_very-long_forte_normal.mp3,,040,85,G major,9B
guitar_G2_very-long_piano_normal.mp3,,006,107,G major,9B
guitar_G3_very-long_forte_normal.mp3,,053,104,G minor,6A
guitar_G3_very-long_piano_harmonics.mp3,,111 1,99,G minor,6A
guitar_G3_very-long_piano_normal.mp3,,018,101,G minor,6A
guitar_G4_very-long_forte_harmonics.mp3,,085,107,G major,9B
guitar_G4_very-long_forte_normal.mp3,,065,107,G major,9B
guitar_G4_very-long_pianissimo_harmonics.mp3,,079,96,G major,9B
guitar_G4_very-long_piano_harmonics.mp3,,117 2,110,G major,9B
guitar_G4_very-long_piano_normal.mp3,,028,104,G minor,6A
guitar_G5_very-long_forte_harmonics.mp3,,096,107,A minor,8A
guitar_G5_very-long_forte_normal.mp3,,074,123,A minor,8A
guitar_G5_very-long_piano_harmonics.mp3,,120 2,107,A minor,8A
guitar_Gs2_very-long_forte_normal.mp3,,041,99,A♭ minor,1A
guitar_Gs2_very-long_piano_normal.mp3,,007,99,A♭ minor,1A
guitar_Gs3_very-long_forte_normal.mp3,,054,107,A minor,8A
guitar_Gs3_very-long_piano_normal.mp3,,019,107,A♭ minor,1A
guitar_Gs4_very-long_forte_normal.mp3,,066,107,A major,11B
guitar_Gs4_very-long_piano_normal.mp3,,029,107,A minor,8A
guitar_Gs5_very-long_forte_normal.mp3,,075,107,A minor,8A
