File,Artist,Title,BPM,Key,Camelot
mandolin_A3_very-long_forte_tremolo.mp3,,240 2,132,A minor,8A
mandolin_A3_very-long_piano_normal.mp3,,200 3,96,A minor,8A
mandolin_A4_very-long_forte_tremolo.mp3,,244 2,119,A minor,8A
mandolin_A4_very-long_piano_normal.mp3,,212 2,80,A minor,8A
mandolin_A4_very-long_piano_tremolo.mp3,,290 2,129,A minor,8A
mandolin_A5_very-long_forte_tremolo.mp3,,246 2,91,A minor,8A
mandolin_A5_very-long_piano_normal.mp3,,224 3,107,A minor,8A
mandolin_A6_very-long_piano_normal.mp3,,237 2,132,A minor,8A
mandolin_A6_very-long_piano_tremolo.mp3,,312 3,91,A minor,8A
mandolin_As3_very-long_forte_tremolo.mp3,,241 2,99,B♭ major,6B
mandolin_As3_very-long_piano_normal.mp3,,201 3,153,B♭ major,6B
mandolin_As4_very-long_piano_normal.mp3,,213 3,78,B♭ major,6B
mandolin_As4_very-long_piano_tremolo.mp3,,291 2,94,B♭ major,6B
mandolin_As5_very-long_piano_normal.mp3,,225 3,123,D minor,7A
mandolin_As5_very-long_piano_tremolo.mp3,,304 2,91,B♭ major,6B
mandolin_B3_very-long_piano_normal.mp3,,202 3,99,B minor,10A
mandolin_B3_very-long_piano_tremolo.mp3,,282 2,99,B major,1B
mandolin_B4_very-long_piano_normal.mp3,,214 3,101,A minor,8A
mandolin_B4_very-long_piano_tremolo.mp3,,292 2,94,B minor,10A
mandolin_B5_very-long_piano_normal.mp3,,226 3,119,G major,9B
mandolin_B5_very-long_piano_tremolo.mp3,,305 2,94,G major,9B
mandolin_C4_very-long_piano_normal.mp3,,203 3,147,C major,8B
mandolin_C4_very-long_piano_tremolo.mp3,,283 2,96,C major,8B
mandolin_C5_very-long_piano_normal.mp3,,215 3,107,C major,8B
mandolin_C5_very-long_piano_tremolo.mp3,,293 2,99,C major,8B
mandolin_C6_very-long_piano_normal.mp3,,273 3,107,D minor,7A
mandolin_C6_very-long_piano_tremolo.mp3,,301 2,91,C major,8B
mandolin_Cs4_very-long_piano_normal.mp3,,204 3,101,A major,11B
mandolin_Cs4_very-long_piano_tremolo.mp3,,284 2,96,C# minor,
mandolin_Cs5_very-long_piano_normal.mp3,,268 3,107,D minor,7A
mandolin_Cs5_very-long_piano_tremolo.mp3,,294 2,94,A major,11B
mandolin_Cs6_very-long_piano_normal.mp3,,274 3,99,A minor,8A
mandolin_Cs6_very-long_piano_tremolo.mp3,,302 2,94,A minor,8A
mandolin_D4_very-long_piano_normal.mp3,,205 2,107,D minor,7A
mandolin_D4_very-long_piano_tremolo.mp3,,285 2,107,D minor,7A
mandolin_D5_very-long_forte_tremolo.mp3,,245 2,82,D major,10B
mandolin_D5_very-long_piano_normal.mp3,,217 3,99,D minor,7A
mandolin_D6_very-long_piano_normal.mp3,,270 3,104,D minor,7A
mandolin_D6_very-long_piano_tremolo.mp3,,303 2,91,D minor,7A
mandolin_Ds4_very-long_piano_normal.mp3,,206 2,104,E♭ minor,2A
mandolin_Ds4_very-long_piano_tremolo.mp3,,286 2,99,E♭ major,5B
