File,Artist,Title,BPM,Key,Camelot
oboe_A4_1_forte_normal.mp3,,436 3,89,A minor,8A
oboe_A4_1_fortissimo_normal.mp3,,610 3,107,A minor,8A
oboe_A4_1_mezzo-forte_normal.mp3,,280 4,99,A minor,8A
oboe_A4_1_piano_normal.mp3,,62 3,136,A minor,8A
oboe_A4_05_forte_normal.mp3,,435 2,107,A minor,8A
oboe_A4_05_fortissimo_normal.mp3,,609 2,78,A minor,8A
oboe_A4_05_piano_normal.mp3,,61 3,96,A minor,8A
oboe_A4_15_forte_normal.mp3,,437 2,107,A minor,8A
oboe_A4_15_fortissimo_normal.mp3,,595 2,107,A minor,8A
oboe_A4_15_mezzo-forte_normal.mp3,,281 3,142,A minor,8A
oboe_A4_15_piano_normal.mp3,,63 3,78,A minor,8A
oboe_A4_025_forte_normal.mp3,,434 3,107,A minor,8A
oboe_A4_025_fortissimo_normal.mp3,,592 3,107,A minor,8A
oboe_A4_025_piano_normal.mp3,,60 2,132,A minor,8A
oboe_A5_1_forte_major-trill.mp3,,991 2,99,A minor,8A
oboe_A5_1_forte_minor-trill.mp3,,992 2,94,A minor,8A
oboe_A5_1_forte_normal.mp3,,484 2,104,A minor,8A
oboe_A5_1_fortissimo_normal.mp3,,644 3,85,A minor,8A
oboe_A5_1_mezzo-forte_normal.mp3,,328 3,99,A minor,8A
oboe_A5_1_piano_normal.mp3,,162 3,142,A minor,8A
oboe_A5_05_forte_normal.mp3,,483 2,150,A minor,8A
oboe_A5_05_fortissimo_normal.mp3,,643 3,83,A minor,8A
oboe_A5_05_mezzo-forte_normal.mp3,,327 3,107,A minor,8A
oboe_A5_05_piano_normal.mp3,,108 4,150,A minor,8A
oboe_A5_15_forte_normal.mp3,,485 1,142,A minor,8A
oboe_A5_15_fortissimo_normal.mp3,,646 3,107,A minor,8A
oboe_A5_15_mezzo-forte_normal.mp3,,329 3,99,A minor,8A
oboe_A5_15_piano_normal.mp3,,110 4,85,A minor,8A
oboe_A5_025_forte_normal.mp3,,482 3,114,A minor,8A
oboe_A5_025_fortissimo_normal.mp3,,642 2,114,A minor,8A
oboe_A5_025_mezzo-forte_normal.mp3,,326 3,91,A minor,8A
oboe_A5_025_piano_normal.mp3,,160 3,99,A minor,8A
oboe_A5_phrase_mezzo-forte_normal.mp3,,932 1,99,A minor,8A
oboe_A6_1_forte_major-trill.mp3,,1001 2,80,A minor,8A
oboe_A6_1_forte_minor-trill.mp3,,1000 2,150,A minor,8A
oboe_A6_1_piano_normal.mp3,,218 4,89,A minor,8A
oboe_A6_05_piano_normal.mp3,,217 4,82,A minor,8A
oboe_A6_15_piano_normal.mp3,,219 4,139,A minor,8A
