File,Artist,Title,BPM,Key,Camelot
saxophone_A3_1_forte_normal.mp3,,Mono Sax Bounce-523,104,A minor,8A
saxophone_A3_1_fortissimo_normal.mp3,,Mono Sax Bounce-679,87,A major,11B
saxophone_A3_1_pianissimo_normal.mp3,,Mono Sax Bounce-368,107,A minor,8A
saxophone_A3_1_piano_normal.mp3,,Mono Sax Bounce-190,104,B minor,10A
saxophone_A3_05_forte_normal.mp3,,Mono Sax Bounce-522,107,C minor,5A
saxophone_A3_05_fortissimo_normal.mp3,,Mono Sax Bounce-678,107,A major,11B
saxophone_A3_05_mezzo-piano_normal.mp3,,Mono Sax Bounce-1014,96,E♭ major,5B
saxophone_A3_05_pianissimo_normal.mp3,,Mono Sax Bounce-28,107,A minor,8A
saxophone_A3_05_piano_normal.mp3,,Mono Sax Bounce-189,104,A minor,8A
saxophone_A3_15_forte_normal.mp3,,Mono Sax Bounce-524,107,A minor,8A
saxophone_A3_15_fortissimo_normal.mp3,,Mono Sax Bounce-680,104,A major,11B
saxophone_A3_15_pianissimo_normal.mp3,,Mono Sax Bounce-30,104,D minor,7A
saxophone_A3_025_forte_normal.mp3,,Mono Sax Bounce-521,107,A minor,8A
saxophone_A3_025_fortissimo_normal.mp3,,Mono Sax Bounce-677,107,A minor,8A
saxophone_A3_025_mezzo-piano_normal.mp3,,Mono Sax Bounce-1013,107,A minor,8A
saxophone_A3_025_pianissimo_normal.mp3,,Mono Sax Bounce-27,107,A minor,8A
saxophone_A3_phrase_mezzo-forte_fluttertonguing.mp3,,Audio 5_16,107,E♭ minor,2A
saxophone_A3_phrase_mezzo-forte_legato.mp3,,Mono Sax Bounce-1060,77,A major,11B
saxophone_A3_phrase_mezzo-forte_nonlegato.mp3,,Audio 5_05-23,130,A major,11B
saxophone_A3_very-long_fortissimo_normal.mp3,,Mono Sax Bounce-897,107,A♭ major,4B
saxophone_A4_1_forte_normal.mp3,,Mono Sax Bounce-571,107,E♭ minor,2A
saxophone_A4_1_fortissimo_normal.mp3,,Mono Sax Bounce-721,104,A minor,8A
saxophone_A4_1_mezzo-forte_normal.mp3,,Mono Sax Bounce-864,101,B♭ major,6B
