new_path,block_type,instrument,note,duration,dynamic,articulation,key,bpm,csv_source,old_path
Instruments/banjo/Banjo_A3_VeryLong_Forte.wav,Banjo,Banjo,A3,VeryLong,Forte,,A minor,107,banjo,Instruments/banjo/banjo_A3_very-long_forte_normal.wav
Instruments/banjo/Banjo_A3_VeryLong_Piano.wav,Banjo,Banjo,A3,VeryLong,Piano,,A minor,107,banjo,Instruments/banjo/banjo_A3_very-long_piano_normal.wav
Instruments/banjo/Banjo_A4_VeryLong_Forte.wav,Banjo,Banjo,A4,VeryLong,Forte,,A minor,107,banjo,Instruments/banjo/banjo_A4_very-long_forte_normal.wav
Instruments/banjo/Banjo_A4_VeryLong_Piano.wav,Banjo,Banjo,A4,VeryLong,Piano,,A minor,107,banjo,Instruments/banjo/banjo_A4_very-long_piano_normal.wav
Instruments/banjo/Banjo_A5_VeryLong_Forte.wav,Banjo,Banjo,A5,VeryLong,Forte,,D minor,99,banjo,Instruments/banjo/banjo_A5_very-long_forte_normal.wav
Instruments/banjo/Banjo_A5_VeryLong_Piano.wav,Banjo,Banjo,A5,VeryLong,Piano,,A minor,101,banjo,Instruments/banjo/banjo_A5_very-long_piano_normal.wav
Instruments/banjo/Banjo_A#3_VeryLong_Forte.wav,Banjo,Banjo,A#3,VeryLong,Forte,,B♭ major,107,banjo,Instruments/banjo/banjo_As3_very-long_forte_normal.wav
Instruments/banjo/Banjo_A#3_VeryLong_Piano.wav,Banjo,Banjo,A#3,VeryLong,Piano,,B♭ minor,101,banjo,Instruments/banjo/banjo_As3_very-long_piano_normal.wav
Instruments/banjo/Banjo_A#4_VeryLong_Forte.wav,Banjo,Banjo,A#4,VeryLong,Forte,,B♭ major,99,banjo,Instruments/banjo/banjo_As4_very-long_forte_normal.wav
Instruments/banjo/Banjo_A#4_VeryLong_Piano.wav,Banjo,Banjo,A#4,VeryLong,Piano,,B♭ major,101,banjo,Instruments/banjo/banjo_As4_very-long_piano_normal.wav
Instruments/banjo/Banjo_A#5_VeryLong_Forte.wav,Banjo,Banjo,A#5,VeryLong,Forte,,D minor,107,banjo,Instruments/banjo/banjo_As5_very-long_forte_normal.wav
Instruments/banjo/Banjo_A#5_VeryLong_Piano.wav,Banjo,Banjo,A#5,VeryLong,Piano,,C major,101,banjo,Instruments/banjo/banjo_As5_very-long_piano_normal.wav
Instruments/banjo/Banjo_B3_VeryLong_Forte.wav,Banjo,Banjo,B3,VeryLong,Forte,,B minor,142,banjo,Instruments/banjo/banjo_B3_very-long_forte_normal.wav
Instruments/banjo/Banjo_B3_VeryLong_Piano.wav,Banjo,Banjo,B3,VeryLong,Piano,,B minor,87,banjo,Instruments/banjo/banjo_B3_very-long_piano_normal.wav
Instruments/banjo/Banjo_B4_VeryLong_Forte.wav,Banjo,Banjo,B4,VeryLong,Forte,,D major,107,banjo,Instruments/banjo/banjo_B4_very-long_forte_normal.wav
Instruments/banjo/Banjo_B4_VeryLong_Piano.wav,Banjo,Banjo,B4,VeryLong,Piano,,A minor,107,banjo,Instruments/banjo/banjo_B4_very-long_piano_normal.wav
Instruments/banjo/Banjo_B5_VeryLong_Forte.wav,Banjo,Banjo,B5,VeryLong,Forte,,C major,104,banjo,Instruments/banjo/banjo_B5_very-long_forte_normal.wav
Instruments/banjo/Banjo_B5_VeryLong_Piano.wav,Banjo,Banjo,B5,VeryLong,Piano,,A minor,144,banjo,Instruments/banjo/banjo_B5_very-long_piano_normal.wav
Instruments/banjo/Banjo_C3_VeryLong_Forte.wav,Banjo,Banjo,C3,VeryLong,Forte,,C major,78,banjo,Instruments/banjo/banjo_C3_very-long_forte_normal.wav
Instruments/banjo/Banjo_C3_VeryLong_Piano.wav,Banjo,Banjo,C3,VeryLong,Piano,,C major,104,banjo,Instruments/banjo/banjo_C3_very-long_piano_normal.wav
Instruments/banjo/Banjo_C4_VeryLong_Forte.wav,Banjo,Banjo,C4,VeryLong,Forte,,C major,144,banjo,Instruments/banjo/banjo_C4_very-long_forte_normal.wav
Instruments/banjo/Banjo_C4_VeryLong_Piano.wav,Banjo,Banjo,C4,VeryLong,Piano,,A minor,104,banjo,Instruments/banjo/banjo_C4_very-long_piano_normal.wav
Instruments/banjo/Banjo_C5_VeryLong_Forte.wav,Banjo,Banjo,C5,VeryLong,Forte,,D minor,107,banjo,Instruments/banjo/banjo_C5_very-long_forte_normal.wav
Instruments/banjo/Banjo_C5_VeryLong_Piano.wav,Banjo,Banjo,C5,VeryLong,Piano,,C major,142,banjo,Instruments/banjo/banjo_C5_very-long_piano_normal.wav
Instruments/banjo/Banjo_C6_VeryLong_Forte.wav,Banjo,Banjo,C6,VeryLong,Forte,,C major,107,banjo,Instruments/banjo/banjo_C6_very-long_forte_normal.wav
Instruments/banjo/Banjo_C#3_VeryLong_Forte.wav,Banjo,Banjo,C#3,VeryLong,Forte,,A major,91,banjo,Instruments/banjo/banjo_Cs3_very-long_forte_normal.wav
Instruments/banjo/Banjo_C#3_VeryLong_Piano.wav,Banjo,Banjo,C#3,VeryLong,Piano,,C# major,153,banjo,Instruments/banjo/banjo_Cs3_very-long_piano_normal.wav
Instruments/banjo/Banjo_C#4_VeryLong_Forte.wav,Banjo,Banjo,C#4,VeryLong,Forte,,A major,107,banjo,Instruments/banjo/banjo_Cs4_very-long_forte_normal.wav
Instruments/banjo/Banjo_C#4_VeryLong_Piano.wav,Banjo,Banjo,C#4,VeryLong,Piano,,A major,99,banjo,Instruments/banjo/banjo_Cs4_very-long_piano_normal.wav
Instruments/banjo/Banjo_C#5_VeryLong_Forte.wav,Banjo,Banjo,C#5,VeryLong,Forte,,D minor,104,banjo,Instruments/banjo/banjo_Cs5_very-long_forte_normal.wav
Instruments/banjo/Banjo_C#6_VeryLong_Forte.wav,Banjo,Banjo,C#6,VeryLong,Forte,,D minor,99,banjo,Instruments/banjo/banjo_Cs6_very-long_forte_normal.wav
Instruments/banjo/Banjo_D3_VeryLong_Forte.wav,Banjo,Banjo,D3,VeryLong,Forte,,D major,104,banjo,Instruments/banjo/banjo_D3_very-long_forte_normal.wav
Instruments/banjo/Banjo_D3_VeryLong_Piano.wav,Banjo,Banjo,D3,VeryLong,Piano,,D major,82,banjo,Instruments/banjo/banjo_D3_very-long_piano_normal.wav
Instruments/banjo/Banjo_D4_VeryLong_Forte.wav,Banjo,Banjo,D4,VeryLong,Forte,,D minor,104,banjo,Instruments/banjo/banjo_D4_very-long_forte_normal.wav
Instruments/banjo/Banjo_D4_VeryLong_Piano.wav,Banjo,Banjo,D4,VeryLong,Piano,,D minor,142,banjo,Instruments/banjo/banjo_D4_very-long_piano_normal.wav
Instruments/banjo/Banjo_D5_VeryLong_Forte.wav,Banjo,Banjo,D5,VeryLong,Forte,,D minor,104,banjo,Instruments/banjo/banjo_D5_very-long_forte_normal.wav
Instruments/banjo/Banjo_D5_VeryLong_Piano.wav,Banjo,Banjo,D5,VeryLong,Piano,,D minor,107,banjo,Instruments/banjo/banjo_D5_very-long_piano_normal.wav
Instruments/banjo/Banjo_D6_VeryLong_Forte.wav,Banjo,Banjo,D6,VeryLong,Forte,,D minor,107,banjo,Instruments/banjo/banjo_D6_very-long_forte_normal.wav
Instruments/banjo/Banjo_D#3_VeryLong_Forte.wav,Banjo,Banjo,D#3,VeryLong,Forte,,E♭ minor,101,banjo,Instruments/banjo/banjo_Ds3_very-long_forte_normal.wav
Instruments/banjo/Banjo_D#3_VeryLong_Piano.wav,Banjo,Banjo,D#3,VeryLong,Piano,,E♭ minor,107,banjo,Instruments/banjo/banjo_Ds3_very-long_piano_normal.wav
Instruments/banjo/Banjo_D#4_VeryLong_Forte.wav,Banjo,Banjo,D#4,VeryLong,Forte,,E♭ major,85,banjo,Instruments/banjo/banjo_Ds4_very-long_forte_normal.wav
Instruments/banjo/Banjo_D#4_VeryLong_Piano.wav,Banjo,Banjo,D#4,VeryLong,Piano,,E♭ major,104,banjo,Instruments/banjo/banjo_Ds4_very-long_piano_normal.wav
Instruments/banjo/Banjo_D#5_VeryLong_Forte.wav,Banjo,Banjo,D#5,VeryLong,Forte,,A minor,107,banjo,Instruments/banjo/banjo_Ds5_very-long_forte_normal.wav
Instruments/banjo/Banjo_D#5_VeryLong_Piano.wav,Banjo,Banjo,D#5,VeryLong,Piano,,A minor,107,banjo,Instruments/banjo/banjo_Ds5_very-long_piano_normal.wav
Instruments/banjo/Banjo_D#6_VeryLong_Forte.wav,Banjo,Banjo,D#6,VeryLong,Forte,,C major,107,banjo,Instruments/banjo/banjo_Ds6_very-long_forte_normal.wav
