File,Artist,Title,BPM,Key,Camelot
trombone_A2_1_mezzo-forte_normal.mp3,,Trombone Mono-401.L,104,A major,11B
trombone_A2_1_pianissimo_normal.mp3,,Trombone Mono-318.L,87,A major,11B
trombone_A2_05_mezzo-forte_normal.mp3,,Trombone Mono-400.L,104,A major,11B
trombone_A2_05_pianissimo_normal.mp3,,Trombone Mono-24.L,87,A major,11B
trombone_A2_05_piano_normal.mp3,,Trombone Mono-218.L,107,A major,11B
trombone_A2_15_mezzo-forte_normal.mp3,,Trombone Mono-402.L,89,A major,11B
trombone_A2_15_pianissimo_normal.mp3,,Trombone Mono-26.L,104,A major,11B
trombone_A2_025_mezzo-forte_normal.mp3,,Trombone Mono-399.L,96,A major,11B
trombone_A2_025_pianissimo_normal.mp3,,Trombone Mono-23.L,107,A major,11B
trombone_A2_025_piano_normal.mp3,,Trombone Mono-217.L,107,A minor,8A
trombone_A2_phrase_mezzo-forte_nonlegato.mp3,,Trombone Mono-567.L,114,F# minor,
trombone_A2_phrase_mezzo-forte_staccatissimo.mp3,,Trombone Mono-583.L,121,F# minor,
trombone_A2_phrase_mezzo-forte_staccato.mp3,,Trombone Mono-575.L,117,F# minor,
trombone_A2_phrase_mezzo-forte_tenuto.mp3,,Trombone Mono-551.L,96,F# minor,
trombone_A2_phrase_mezzo-forte_tongued-slur.mp3,,Trombone Mono-559.L,106,F# minor,
trombone_A2_very-long_forte_normal.mp3,,Trombone Mono-599.L,104,A major,11B
trombone_A2_very-long_fortissimo_normal.mp3,,Trombone Mono-846.L,107,A major,11B
trombone_A2_very-long_mezzo-forte_normal.mp3,,Trombone Mono-367.L,82,A major,11B
trombone_A2_very-long_pianissimo_normal.mp3,,Trombone Mono-127.L,107,A major,11B
trombone_A2_very-long_piano_normal.mp3,,Trombone Mono-185.L,112,A minor,8A
trombone_A3_1_forte_normal.mp3,,Trombone Mono-630.L,107,A major,11B
trombone_A3_1_fortissimo_normal.mp3,,Trombone Mono-871.L,107,A major,11B
trombone_A3_1_mezzo-forte_normal.mp3,,Trombone Mono-449.L,107,A minor,8A
trombone_A3_1_pianissimo_normal.mp3,,Trombone Mono-73.L,104,A minor,8A
trombone_A3_1_piano_normal.mp3,,Trombone Mono-263.L,80,A minor,8A
trombone_A3_05_forte_normal.mp3,,Trombone Mono-629.L,127,A major,11B
trombone_A3_05_fortissimo_normal.mp3,,Trombone Mono-870.L,106,A major,11B
trombone_A3_05_mezzo-forte_normal.mp3,,Trombone Mono-448.L,107,A minor,8A
trombone_A3_05_pianissimo_normal.mp3,,Trombone Mono-72.L,104,A minor,8A
trombone_A3_05_piano_normal.mp3,,Trombone Mono-262.L,107,A major,11B
trombone_A3_15_forte_normal.mp3,,Trombone Mono-631.L,107,A major,11B
trombone_A3_15_fortissimo_normal.mp3,,Trombone Mono-872.L,104,A major,11B
trombone_A3_15_mezzo-forte_normal.mp3,,Trombone Mono-450.L,107,A minor,8A
trombone_A3_15_pianissimo_normal.mp3,,Trombone Mono-74.L,107,A minor,8A
trombone_A3_15_piano_normal.mp3,,Trombone Mono-264.L,107,A minor,8A
trombone_A3_025_forte_normal.mp3,,Trombone Mono-628.L,107,A major,11B
trombone_A3_025_fortissimo_normal.mp3,,Trombone Mono-869.L,104,A major,11B
trombone_A3_025_mezzo-forte_normal.mp3,,Trombone Mono-447.L,107,A minor,8A
trombone_A3_025_pianissimo_normal.mp3,,Trombone Mono-71.L,87,A minor,8A
trombone_A3_025_piano_normal.mp3,,Trombone Mono-261.L,107,A minor,8A
trombone_A4_1_forte_normal.mp3,,Trombone Mono-678.L,107,A minor,8A
trombone_A4_1_fortissimo_normal.mp3,,Trombone Mono-919.L,104,A minor,8A
trombone_A4_1_mezzo-forte_normal.mp3,,Trombone Mono-497.L,99,A minor,8A
trombone_A4_1_pianissimo_normal.mp3,,Trombone Mono-119.L,107,A minor,8A
trombone_A4_1_piano_normal.mp3,,Trombone Mono-309.L,107,A minor,8A
trombone_A4_05_forte_normal.mp3,,Trombone Mono-677.L,107,A major,11B
trombone_A4_05_fortissimo_normal.mp3,,Trombone Mono-918.L,82,A minor,8A
trombone_A4_05_mezzo-forte_normal.mp3,,Trombone Mono-496.L,107,A minor,8A
trombone_A4_05_pianissimo_normal.mp3,,Trombone Mono-118.L,101,A minor,8A
trombone_A4_05_piano_normal.mp3,,Trombone Mono-308.L,107,A minor,8A
trombone_A4_15_forte_normal.mp3,,Trombone Mono-679.L,94,A minor,8A
trombone_A4_15_fortissimo_normal.mp3,,Trombone Mono-920.L,99,A major,11B
trombone_A4_15_mezzo-forte_normal.mp3,,Trombone Mono-498.L,107,A major,11B
trombone_A4_15_pianissimo_normal.mp3,,Trombone Mono-120.L,104,A minor,8A
trombone_A4_15_piano_normal.mp3,,Trombone Mono-310.L,101,A minor,8A
trombone_A4_025_forte_normal.mp3,,Trombone Mono-676.L,94,A major,11B
trombone_A4_025_fortissimo_normal.mp3,,Trombone Mono-917.L,101,A minor,8A
trombone_A4_025_mezzo-forte_normal.mp3,,Trombone Mono-495.L,85,A minor,8A
trombone_A4_025_pianissimo_normal.mp3,,Trombone Mono-117.L,91,A minor,8A
trombone_A4_025_piano_normal.mp3,,Trombone Mono-307.L,104,A minor,8A
trombone_A4_phrase_forte_glissando.mp3,,Trombone Mono-1050.L,132,A major,11B
trombone_A5_1_forte_normal.mp3,,Trombone Mono-726.L,104,A major,11B
trombone_A5_1_fortissimo_normal.mp3,,Trombone Mono-980.L,107,A minor,8A
trombone_A5_05_forte_normal.mp3,,Trombone Mono-725.L,97,A minor,8A
trombone_A5_05_fortissimo_normal.mp3,,Trombone Mono-979.L,107,A minor,8A
trombone_A5_15_forte_normal.mp3,,Trombone Mono-727.L,107,A minor,8A
trombone_A5_15_fortissimo_normal.mp3,,Trombone Mono-981.L,91,A minor,8A
trombone_A5_025_forte_normal.mp3,,Trombone Mono-724.L,104,A minor,8A
trombone_A5_025_fortissimo_normal.mp3,,Trombone Mono-978.L,91,A minor,8A
trombone_As2_1_mezzo-forte_normal.mp3,,Trombone Mono-405.L,107,B♭ major,6B
trombone_As2_1_pianissimo_normal.mp3,,Trombone Mono-321.L,94,B♭ major,6B
trombone_As2_05_mezzo-forte_normal.mp3,,Trombone Mono-404.L,104,B♭ major,6B
