File,Artist,Title,BPM,Key,Camelot
trumpet_A2_long_pianissimo_normal.mp3,,Trpt Mono -11,87,A major,11B
trumpet_A3_1_forte_normal.mp3,,Trpt Mono -172,96,A minor,8A
trumpet_A3_1_fortissimo_normal.mp3,,Trpt Mono -344,85,A minor,8A
trumpet_A3_1_pianissimo_normal.mp3,,Trpt Mono -47,91,A minor,8A
trumpet_A3_05_forte_normal.mp3,,Trpt Mono -851,99,A major,11B
trumpet_A3_05_fortissimo_normal.mp3,,Trpt Mono -343,83,A minor,8A
trumpet_A3_05_pianissimo_normal.mp3,,Trpt Mono -46,99,A major,11B
trumpet_A3_15_forte_normal.mp3,,Trpt Mono -173,99,A minor,8A
trumpet_A3_15_pianissimo_normal.mp3,,Trpt Mono -48,83,A minor,8A
trumpet_A3_025_forte_normal.mp3,,Trpt Mono -170,96,A minor,8A
trumpet_A3_025_fortissimo_normal.mp3,,Trpt Mono -342,99,A minor,8A
trumpet_A3_025_pianissimo_normal.mp3,,Trpt Mono -45,87,A minor,8A
trumpet_A3_phrase_crescendo_normal.mp3,,Trpt Mono -552,114,A minor,8A
trumpet_A3_very-long_piano_normal.mp3,,Trpt Mono -590,115,A minor,8A
trumpet_A4_1_forte_normal.mp3,,Trpt Mono -209,142,A minor,8A
trumpet_A4_1_fortissimo_normal.mp3,,Trpt Mono -381,87,A minor,8A
trumpet_A4_1_pianissimo_normal.mp3,,Trpt Mono -95,99,A minor,8A
trumpet_A4_05_forte_normal.mp3,,Trpt Mono -780,91,A minor,8A
trumpet_A4_05_fortissimo_normal.mp3,,Trpt Mono -380,99,A minor,8A
trumpet_A4_05_pianissimo_normal.mp3,,Trpt Mono -94,153,A minor,8A
trumpet_A4_15_forte_normal.mp3,,Trpt Mono -210,91,A minor,8A
trumpet_A4_15_fortissimo_normal.mp3,,Trpt Mono -382,91,A minor,8A
trumpet_A4_15_pianissimo_normal.mp3,,Trpt Mono -96,82,A minor,8A
trumpet_A4_025_forte_normal.mp3,,Trpt Mono -779,89,A minor,8A
trumpet_A4_025_fortissimo_normal.mp3,,Trpt Mono -379,94,A minor,8A
trumpet_A4_025_pianissimo_normal.mp3,,Trpt Mono -93,89,A minor,8A
trumpet_A4_long_forte_normal.mp3,,Trpt Mono -676,129,A minor,8A
trumpet_A4_long_mezzo-piano_normal.mp3,,Trpt Mono -996,106,A minor,8A
trumpet_A4_long_pianissimo_normal.mp3,,Trpt Mono -723,104,A minor,8A
trumpet_A4_long_piano_normal.mp3,,Trpt Mono -942,107,A minor,8A
trumpet_A4_phrase_crescendo_normal.mp3,,Trpt Mono -562,81,A minor,8A
trumpet_A4_phrase_forte_glissando.mp3,,Trpt Mono -575,139,A minor,8A
trumpet_A5_1_forte_normal.mp3,,Trpt Mono -279,147,A minor,8A
trumpet_A5_1_mezzo-forte_normal.mp3,,Trpt Mono -747,99,A major,11B
trumpet_A5_05_forte_normal.mp3,,Trpt Mono -278,94,A major,11B
trumpet_A5_05_mezzo-forte_normal.mp3,,Trpt Mono -810,150,A major,11B
trumpet_A5_15_forte_normal.mp3,,Trpt Mono -294,147,A minor,8A
trumpet_A5_15_mezzo-forte_normal.mp3,,Trpt Mono -748,78,D major,10B
trumpet_A5_025_forte_normal.mp3,,Trpt Mono -787,85,A major,11B
trumpet_A5_025_mezzo-forte_normal.mp3,,Trpt Mono -809,94,A minor,8A
trumpet_A5_phrase_forte_glissando.mp3,,Trpt Mono -578,78,A major,11B
trumpet_A5_very-long_fortissimo_normal.mp3,,Trpt Mono -926,94,A minor,8A
trumpet_As2_long_pianissimo_normal.mp3,,Trpt Mono -24,85,B♭ major,6B
trumpet_As3_1_forte_normal.mp3,,Trpt Mono -176,142,B♭ minor,3A
trumpet_As3_1_fortissimo_normal.mp3,,Trpt Mono -347,139,B♭ minor,3A
trumpet_As3_1_pianissimo_normal.mp3,,Trpt Mono -51,107,B♭ major,6B
trumpet_As3_05_forte_normal.mp3,,Trpt Mono -175,91,B♭ major,6B
trumpet_As3_05_fortissimo_normal.mp3,,Trpt Mono -346,99,B♭ minor,3A
trumpet_As3_05_pianissimo_normal.mp3,,Trpt Mono -50,94,B♭ major,6B
trumpet_As3_15_fortissimo_normal.mp3,,Trpt Mono -348,91,B♭ minor,3A
trumpet_As3_15_pianissimo_normal.mp3,,Trpt Mono -52,80,B♭ major,6B
trumpet_As3_025_forte_normal.mp3,,Trpt Mono -767,87,B♭ major,6B
trumpet_As3_025_fortissimo_normal.mp3,,Trpt Mono -345,83,B♭ minor,3A
trumpet_As3_025_pianissimo_normal.mp3,,Trpt Mono -49,83,B♭ minor,3A
trumpet_As3_long_forte_normal.mp3,,Trpt Mono -673,115,B♭ major,6B
trumpet_As3_long_mezzo-piano_normal.mp3,,Trpt Mono -994,144,B♭ minor,3A
trumpet_As3_long_pianissimo_normal.mp3,,Trpt Mono -720,89,B♭ major,6B
trumpet_As3_long_piano_normal.mp3,,Trpt Mono -987,129,B♭ major,6B
trumpet_As3_phrase_mezzo-forte_double-tonguing.mp3,,Trpt Mono -896,82,E♭ minor,2A
trumpet_As3_phrase_mezzo-forte_fluttertonguing.mp3,,Trpt Mono -904,122,E♭ minor,2A
trumpet_As3_phrase_mezzo-forte_nonlegato.mp3,,Trpt Mono -864,74,D minor,7A
trumpet_As3_phrase_mezzo-forte_staccatissimo.mp3,,Trpt Mono -900,128,E♭ minor,2A
trumpet_As3_phrase_mezzo-forte_staccato.mp3,,Trpt Mono -888,69,B♭ minor,3A
trumpet_As3_phrase_mezzo-forte_tenuto.mp3,,Trpt Mono -863,112,E♭ minor,2A
trumpet_As3_phrase_mezzo-forte_tongued-slur.mp3,,Trpt Mono -867,127,E♭ minor,2A
trumpet_As3_phrase_mezzo-forte_triple-tonguing.mp3,,Trpt Mono -902,113,E♭ minor,2A
trumpet_As4_1_fortissimo_normal.mp3,,Trpt Mono -385,91,B♭ minor,3A
trumpet_As4_1_pianissimo_normal.mp3,,Trpt Mono -99,87,D minor,7A
trumpet_As4_05_forte_normal.mp3,,Trpt Mono -212,107,B♭ minor,3A
trumpet_As4_05_fortissimo_normal.mp3,,Trpt Mono -384,85,B♭ minor,3A
trumpet_As4_05_pianissimo_normal.mp3,,Trpt Mono -98,101,D minor,7A
trumpet_As4_15_forte_normal.mp3,,Trpt Mono -213,82,B♭ minor,3A
trumpet_As4_15_fortissimo_normal.mp3,,Trpt Mono -386,91,B♭ minor,3A
trumpet_As4_15_pianissimo_normal.mp3,,Trpt Mono -100,94,B♭ major,6B
trumpet_As4_025_forte_normal.mp3,,Trpt Mono -781,96,B♭ major,6B
trumpet_As4_025_fortissimo_normal.mp3,,Trpt Mono -383,94,B♭ minor,3A
