File,Artist,Title,BPM,Key,Camelot
tuba_A1_1_forte_mute.mp3,,Tuba Mono-6014,85,A major,11B
tuba_A1_1_forte_normal.mp3,,Tuba Mono-2163,104,A minor,8A
tuba_A1_1_fortissimo_normal.mp3,,Tuba Mono-6989,104,A major,11B
tuba_A1_1_mezzo-forte_normal.mp3,,Tuba Mono-1631,83,A major,11B
tuba_A1_1_mezzo-piano_normal.mp3,,Tuba Mono-990,87,A minor,8A
tuba_A1_1_pianissimo_mute.mp3,,Tuba Mono-6010,76,A minor,8A
tuba_A1_1_pianissimo_normal.mp3,,Tuba Mono-65,144,A major,11B
tuba_A1_1_piano_mute.mp3,,Tuba Mono-5986,100,A minor,8A
tuba_A1_1_piano_normal.mp3,,Tuba Mono-639,82,B♭ minor,3A
tuba_A1_05_forte_normal.mp3,,Tuba Mono-6687,104,A♭ major,4B
tuba_A1_05_fortissimo_normal.mp3,,Tuba Mono-6987,104,A major,11B
tuba_A1_05_mezzo-forte_normal.mp3,,Tuba Mono-1630,104,A minor,8A
tuba_A1_05_mezzo-piano_normal.mp3,,Tuba Mono-988,133,A major,11B
tuba_A1_05_pianissimo_mute.mp3,,Tuba Mono-6009,97,A minor,8A
tuba_A1_05_pianissimo_normal.mp3,,Tuba Mono-63,82,A major,11B
tuba_A1_05_piano_mute.mp3,,Tuba Mono-5985,94,A minor,8A
tuba_A1_05_piano_normal.mp3,,Tuba Mono-637,104,B♭ major,6B
tuba_A1_15_fortissimo_normal.mp3,,Tuba Mono-6992,87,A minor,8A
tuba_A1_15_pianissimo_normal.mp3,,Tuba Mono-66,107,A major,11B
tuba_A1_025_forte_normal.mp3,,Tuba Mono-6686,142,A major,11B
tuba_A1_025_fortissimo_normal.mp3,,Tuba Mono-6985,132,A♭ major,4B
tuba_A1_025_mezzo-forte_normal.mp3,,Tuba Mono-6586,99,A major,11B
tuba_A1_025_pianissimo_normal.mp3,,Tuba Mono-62,87,A major,11B
tuba_A2_1_forte_normal.mp3,,Tuba Mono-2249,107,A major,11B
