File,Artist,Title,BPM,Key,Camelot
viola_A3_1_forte_arco-normal.mp3,,497 4,107,A minor,8A
viola_A3_1_fortissimo_arco-normal.mp3,,617 4,85,A major,11B
viola_A3_1_fortissimo_pizz-normal.mp3,,1006 2,107,A major,11B
viola_A3_1_mezzo-forte_molto-vibrato.mp3,,944 1,94,A minor,8A
viola_A3_1_mezzo-piano_non-vibrato.mp3,,920 3,96,A minor,8A
viola_A3_1_pianissimo_arco-normal.mp3,,34 4,139,A minor,8A
viola_A3_1_piano_arco-glissando.mp3,,968 3,104,A minor,8A
viola_A3_1_piano_arco-normal.mp3,,211 4,89,A minor,8A
viola_A3_1_piano_pizz-normal.mp3,,1028 2,99,A minor,8A
viola_A3_05_fortissimo_arco-normal.mp3,,759 3,91,A minor,8A
viola_A3_05_mezzo-piano_arco-normal.mp3,,418 4,104,A minor,8A
viola_A3_05_pianissimo_arco-normal.mp3,,33 4,117,A minor,8A
viola_A3_05_piano_arco-normal.mp3,,210 5,101,A minor,8A
viola_A3_15_forte_arco-normal.mp3,,498 4,101,A major,11B
viola_A3_15_fortissimo_arco-normal.mp3,,618 4,104,A major,11B
viola_A3_15_piano_arco-normal.mp3,,212 4,107,A minor,8A
viola_A3_025_fortissimo_arco-normal.mp3,,758 3,134,A major,11B
viola_A3_025_mezzo-piano_arco-normal.mp3,,417 4,107,A minor,8A
viola_A3_025_pianissimo_arco-normal.mp3,,35 4,96,A minor,8A
viola_A3_025_piano_arco-normal.mp3,,209 5,83,A minor,8A
viola_A4_1_forte_arco-normal.mp3,,510 4,101,A minor,8A
viola_A4_1_fortissimo_arco-normal.mp3,,649 4,150,A minor,8A
viola_A4_1_fortissimo_snap-pizz.mp3,,1015 3,107,A minor,8A
viola_A4_1_mezzo-forte_arco-major-trill.mp3,,888 1,107,A minor,8A
viola_A4_1_mezzo-forte_arco-minor-trill.mp3,,857 2,94,A minor,8A
viola_A4_1_mezzo-forte_molto-vibrato.mp3,,929 3,104,A minor,8A
viola_A4_1_mezzo-piano_non-vibrato.mp3,,905 2,101,A minor,8A
viola_A4_1_pianissimo_arco-normal.mp3,,83 3,91,A minor,8A
viola_A4_1_piano_arco-glissando.mp3,,970 2,100,A major,11B
viola_A4_1_piano_arco-normal.mp3,,288 4,116,A minor,8A
viola_A4_1_piano_pizz-normal.mp3,,1031 3,107,A minor,8A
viola_A4_05_forte_arco-normal.mp3,,509 4,94,A minor,8A
viola_A4_05_fortissimo_arco-normal.mp3,,648 4,101,A minor,8A
viola_A4_05_mezzo-piano_arco-normal.mp3,,454 4,107,A minor,8A
viola_A4_05_pianissimo_arco-normal.mp3,,82 3,114,A major,11B
viola_A4_05_piano_arco-normal.mp3,,287 4,107,A major,11B
viola_A4_15_fortissimo_arco-normal.mp3,,650 4,150,A minor,8A
viola_A4_15_pianissimo_arco-normal.mp3,,84 3,107,A minor,8A
viola_A4_15_piano_arco-normal.mp3,,289 4,87,A minor,8A
viola_A4_025_fortissimo_arco-normal.mp3,,647 4,147,A major,11B
viola_A4_025_mezzo-piano_arco-normal.mp3,,453 4,153,A minor,8A
viola_A4_025_pianissimo_arco-normal.mp3,,81 3,69,A minor,8A
viola_A4_025_piano_arco-normal.mp3,,286 4,107,A minor,8A
viola_A4_phrase_mezzo-forte_arco-detache.mp3,,793 2,87,A minor,8A
viola_A4_phrase_mezzo-forte_arco-legato.mp3,,803 2,118,A minor,8A
viola_A4_very-long_mezzo-forte_arco-normal.mp3,,1195 3,88,A minor,8A
viola_A5_1_forte_arco-normal.mp3,,540 4,96,A minor,8A
viola_A5_1_fortissimo_arco-normal.mp3,,691 2,91,A minor,8A
viola_A5_1_mezzo-forte_artificial-harmonic.mp3,,1060 2,96,A minor,8A
viola_A5_1_pianissimo_arco-normal.mp3,,126 5,117,A minor,8A
viola_A5_1_piano_arco-normal.mp3,,338 4,87,A minor,8A
viola_A5_05_forte_arco-normal.mp3,,539 4,99,A minor,8A
viola_A5_05_fortissimo_arco-normal.mp3,,690 2,104,A minor,8A
viola_A5_05_pianissimo_arco-normal.mp3,,160 4,107,A minor,8A
viola_A5_05_piano_arco-normal.mp3,,337 4,106,A minor,8A
viola_A5_15_forte_arco-normal.mp3,,541 4,87,A minor,8A
viola_A5_15_fortissimo_arco-normal.mp3,,692 3,104,A minor,8A
viola_A5_15_piano_arco-normal.mp3,,339 4,89,A minor,8A
viola_A5_025_forte_arco-normal.mp3,,538 4,101,A minor,8A
viola_A5_025_fortissimo_arco-normal.mp3,,689 2,147,A major,11B
viola_A5_025_pianissimo_arco-normal.mp3,,124 5,121,A minor,8A
viola_A5_025_piano_arco-normal.mp3,,336 4,99,A minor,8A
viola_A5_long_mezzo-forte_artificial-harmonic.mp3,,1114 2,96,A minor,8A
viola_A5_long_mezzo-forte_natural-harmonic.mp3,,1123 3,101,A major,11B
viola_A5_phrase_mezzo-forte_arco-legato.mp3,,806 2,94,A minor,8A
viola_A5_phrase_mezzo-forte_arco-spiccato.mp3,,826 3,91,A minor,8A
viola_A5_phrase_mezzo-forte_arco-staccato.mp3,,816 2,91,A minor,8A
viola_A5_phrase_mezzo-forte_arco-tremolo.mp3,,838 2,90,A minor,8A
viola_A6_1_forte_arco-normal.mp3,,576 3,87,A major,11B
viola_A6_1_fortissimo_arco-normal.mp3,,735 3,89,D minor,7A
viola_A6_1_mezzo-forte_artificial-harmonic.mp3,,1050 2,96,A minor,8A
viola_A6_1_pianissimo_arco-normal.mp3,,185 5,107,A minor,8A
viola_A6_1_piano_arco-normal.mp3,,384 4,107,B minor,10A
viola_A6_05_forte_arco-normal.mp3,,575 3,104,A major,11B
viola_A6_05_fortissimo_arco-normal.mp3,,734 3,107,F major,7B
viola_A6_05_pianissimo_arco-normal.mp3,,184 5,91,A minor,8A
viola_A6_05_piano_arco-normal.mp3,,379 4,100,A minor,8A
viola_A6_15_forte_arco-normal.mp3,,577 3,107,B minor,10A
viola_A6_15_piano_arco-normal.mp3,,381 4,107,A major,11B
viola_A6_025_forte_arco-normal.mp3,,574 3,147,F major,7B
viola_A6_025_fortissimo_arco-normal.mp3,,733 3,104,A minor,8A
viola_A6_025_pianissimo_arco-normal.mp3,,182 5,68,A major,11B
viola_A6_long_mezzo-forte_artificial-harmonic.mp3,,1102 2,85,D minor,7A
viola_A6_long_mezzo-forte_natural-harmonic.mp3,,1120 2,104,A major,11B
viola_As3_1_fortissimo_arco-normal.mp3,,762 3,96,B♭ major,6B
viola_As3_1_fortissimo_pizz-glissando.mp3,,1037 2,107,D minor,7A
viola_As3_1_fortissimo_pizz-normal.mp3,,989 3,107,B♭ minor,3A
viola_As3_1_fortissimo_snap-pizz.mp3,,1013 3,101,B♭ minor,3A
viola_As3_1_mezzo-forte_arco-major-trill.mp3,,886 2,107,B♭ major,6B
viola_As3_1_mezzo-forte_arco-minor-trill.mp3,,855 2,139,B♭ major,6B
viola_As3_1_mezzo-forte_molto-vibrato.mp3,,927 3,94,B♭ major,6B
viola_As3_1_mezzo-piano_arco-normal.mp3,,419 4,101,B♭ minor,3A
viola_As3_1_mezzo-piano_non-vibrato.mp3,,903 3,94,B♭ minor,3A
viola_As3_1_pianissimo_arco-normal.mp3,,39 4,150,B♭ major,6B
viola_As3_1_piano_arco-glissando.mp3,,951 3,89,B♭ major,6B
viola_As3_1_piano_arco-normal.mp3,,215 5,85,B♭ major,6B
viola_As3_1_piano_pizz-normal.mp3,,973 3,101,B♭ major,6B
viola_As3_05_forte_arco-normal.mp3,,500 3,101,B♭ major,6B
viola_As3_05_fortissimo_arco-normal.mp3,,761 3,101,B♭ minor,3A
viola_As3_05_pianissimo_arco-normal.mp3,,38 3,85,B♭ major,6B
viola_As3_05_piano_arco-normal.mp3,,214 5,101,B♭ minor,3A
viola_As3_15_fortissimo_arco-normal.mp3,,619 4,99,B♭ major,6B
viola_As3_15_pianissimo_arco-normal.mp3,,40 4,91,B♭ minor,3A
viola_As3_15_piano_arco-normal.mp3,,216 5,94,B♭ major,6B
viola_As3_025_forte_arco-normal.mp3,,499 4,107,B♭ major,6B
viola_As3_025_fortissimo_arco-normal.mp3,,760 3,99,B♭ major,6B
viola_As3_025_pianissimo_arco-normal.mp3,,37 4,68,B♭ major,6B
viola_As3_025_piano_arco-normal.mp3,,213 5,85,B♭ major,6B
viola_As4_1_forte_arco-normal.mp3,,513 4,87,B♭ minor,3A
viola_As4_1_fortissimo_arco-normal.mp3,,653 4,78,B♭ minor,3A
viola_As4_1_fortissimo_pizz-glissando.mp3,,1039 2,101,A minor,8A
viola_As4_1_fortissimo_pizz-normal.mp3,,991 3,104,A minor,8A
viola_As4_1_mezzo-forte_arco-minor-trill.mp3,,867 2,99,A minor,8A
viola_As4_1_pianissimo_arco-normal.mp3,,87 3,147,B♭ major,6B
viola_As4_1_piano_arco-normal.mp3,,233 4,83,B♭ major,6B
viola_As4_05_forte_arco-normal.mp3,,512 4,104,B♭ major,6B
viola_As4_05_fortissimo_arco-normal.mp3,,652 3,101,B♭ major,6B
viola_As4_05_pianissimo_arco-normal.mp3,,86 3,87,B♭ major,6B
viola_As4_05_piano_arco-normal.mp3,,290 4,96,D minor,7A
viola_As4_15_forte_arco-normal.mp3,,514 4,91,B♭ major,6B
viola_As4_15_fortissimo_arco-normal.mp3,,654 3,150,B♭ minor,3A
