File,Artist,Title,BPM,Key,Camelot
violin_A3_1_forte_arco-normal.mp3,,1506,96,A major,11B
violin_A3_1_fortissimo_arco-normal.mp3,,0618 1,107,A major,11B
violin_A3_1_pianissimo_arco-normal.mp3,,0009,107,A major,11B
violin_A3_1_piano_arco-normal.mp3,,1346 2,107,A minor,8A
violin_A3_05_forte_arco-normal.mp3,,1485,101,A minor,8A
violin_A3_05_fortissimo_arco-normal.mp3,,0617,117,A minor,8A
violin_A3_05_pianissimo_arco-normal.mp3,,0008,104,A major,11B
violin_A3_05_piano_arco-normal.mp3,,0144,107,A major,11B
violin_A3_15_forte_arco-normal.mp3,,1487,83,A major,11B
violin_A3_15_fortissimo_arco-normal.mp3,,0619 1,107,A major,11B
violin_A3_025_forte_arco-normal.mp3,,1504,91,A major,11B
violin_A3_025_fortissimo_arco-normal.mp3,,0616,104,A minor,8A
violin_A3_025_mezzo-forte_arco-normal.mp3,,0289,94,A minor,8A
violin_A3_025_mezzo-piano_arco-normal.mp3,,1402 1,101,A major,11B
violin_A3_025_pianissimo_arco-normal.mp3,,0007,100,A minor,8A
violin_A3_025_piano_arco-normal.mp3,,0143 1,107,A major,11B
violin_A3_phrase_forte_arco-spiccato.mp3,,1797 1,107,A minor,8A
violin_A3_phrase_forte_arco-staccato.mp3,,1742 1,107,A minor,8A
violin_A3_phrase_fortissimo_arco-au-talon.mp3,,0819,104,A minor,8A
violin_A3_phrase_fortissimo_arco-martele.mp3,,1823,106,A major,11B
violin_A3_phrase_mezzo-forte_arco-tenuto.mp3,,1617,94,A minor,8A
violin_A3_phrase_mezzo-forte_arco-tremolo.mp3,,1827,107,A minor,8A
violin_A3_phrase_mezzo-piano_arco-detache.mp3,,1596,94,A major,11B
violin_A3_phrase_mezzo-piano_arco-legato.mp3,,1675 1,107,A minor,8A
violin_A3_phrase_mezzo-piano_arco-tremolo.mp3,,0892 1,80,A major,11B
violin_A4_1_fortissimo_arco-normal.mp3,,1571,99,A minor,8A
violin_A4_1_mezzo-piano_arco-normal.mp3,,1425,147,A major,11B
violin_A4_05_forte_arco-normal.mp3,,1517,107,A minor,8A
violin_A4_05_fortissimo_arco-au-talon.mp3,,0870 1,107,A minor,8A
violin_A4_05_fortissimo_arco-normal.mp3,,0664 1,89,A major,11B
violin_A4_05_mezzo-forte_arco-normal.mp3,,0326 1,101,A minor,8A
violin_A4_05_mezzo-piano_arco-normal.mp3,,1424,109,A minor,8A
violin_A4_05_pianissimo_arco-normal.mp3,,0033,91,A minor,8A
violin_A4_05_piano_arco-normal.mp3,,1366 2,107,A minor,8A
violin_A4_15_fortissimo_arco-normal.mp3,,0666 1,101,A minor,8A
violin_A4_025_forte_arco-normal.mp3,,0478 1,94,A minor,8A
violin_A4_025_fortissimo_arco-normal.mp3,,0663 1,117,A major,11B
violin_A4_025_mezzo-forte_arco-normal.mp3,,0325 1,107,A minor,8A
violin_A4_025_mezzo-piano_arco-normal.mp3,,1423,89,A minor,8A
violin_A4_025_pianissimo_arco-normal.mp3,,0032,89,D minor,7A
violin_A4_025_piano_arco-normal.mp3,,0169 1,129,A minor,8A
violin_A4_phrase_forte_arco-martele.mp3,,1655 1,99,A minor,8A
violin_A4_phrase_forte_arco-spiccato.mp3,,1818,107,A minor,8A
violin_A4_phrase_forte_arco-staccato.mp3,,1774 1,107,A minor,8A
violin_A4_phrase_fortissimo_arco-au-talon.mp3,,0839 1,91,A minor,8A
violin_A4_phrase_fortissimo_arco-detache.mp3,,0792,107,A minor,8A
violin_A4_phrase_fortissimo_arco-tremolo.mp3,,0832 1,83,A major,11B
violin_A4_phrase_mezzo-forte_arco-legato.mp3,,1733,107,A minor,8A
violin_A4_phrase_mezzo-forte_arco-spiccato.mp3,,0799,107,A minor,8A
violin_A4_phrase_mezzo-piano_arco-legato.mp3,,1691 1,107,A minor,8A
violin_A4_phrase_pianissimo_arco-tremolo.mp3,,0904 1,89,A major,11B
violin_A4_very-long_crescendo_arco-normal.mp3,,1279 3,82,A minor,8A
violin_A4_very-long_decrescendo_arco-normal.mp3,,1295 4,129,A minor,8A
violin_A5_1_forte_arco-normal.mp3,,0521 1,104,A minor,8A
violin_A5_1_fortissimo_arco-martele.mp3,,1825,104,A minor,8A
violin_A5_1_fortissimo_arco-normal.mp3,,0712 1,104,A major,11B
violin_A5_1_mezzo-forte_natural-harmonic.mp3,,1149 4,94,A minor,8A
violin_A5_1_mezzo-piano_arco-normal.mp3,,1450,106,A major,11B
violin_A5_1_pianissimo_arco-normal.mp3,,0071,107,A minor,8A
violin_A5_05_forte_arco-normal.mp3,,0520 1,79,A minor,8A
violin_A5_05_fortissimo_arco-au-talon.mp3,,0869 1,115,A minor,8A
violin_A5_05_fortissimo_arco-normal.mp3,,0711 1,70,A minor,8A
violin_A5_05_mezzo-forte_arco-normal.mp3,,0356,132,A minor,8A
violin_A5_05_mezzo-piano_arco-normal.mp3,,1449,118,A minor,8A
violin_A5_05_pianissimo_arco-normal.mp3,,0070,107,D major,10B
violin_A5_15_forte_arco-normal.mp3,,0522 1,96,A minor,8A
violin_A5_15_fortissimo_arco-normal.mp3,,0713 1,107,A major,11B
violin_A5_15_pianissimo_arco-normal.mp3,,0072,96,A minor,8A
violin_A5_025_forte_arco-normal.mp3,,1535,102,A major,11B
violin_A5_025_fortissimo_arco-normal.mp3,,0710 1,104,A minor,8A
violin_A5_025_mezzo-forte_arco-normal.mp3,,0355,101,A minor,8A
violin_A5_025_mezzo-piano_arco-normal.mp3,,1448,125,A minor,8A
violin_A5_025_pianissimo_arco-normal.mp3,,0069 1,101,A minor,8A
violin_A5_phrase_forte_arco-martele.mp3,,1659 1,85,A minor,8A
violin_A5_phrase_forte_arco-spiccato.mp3,,1819,107,A minor,8A
violin_A5_phrase_forte_arco-staccato.mp3,,1773 1,107,A minor,8A
violin_A5_phrase_forte_harmonic-glissando.mp3,,1324 2,107,A minor,8A
violin_A5_phrase_fortissimo_arco-tremolo.mp3,,0879 1,83,A minor,8A
violin_A5_phrase_mezzo-forte_arco-legato.mp3,,1716 1,107,A minor,8A
violin_A5_phrase_mezzo-forte_arco-spiccato.mp3,,0803,129,A minor,8A
violin_A5_phrase_mezzo-piano_arco-major-trill.mp3,,1947,87,B♭ minor,3A
violin_A5_phrase_piano_arco-punta-d'arco.mp3,,1664 1,107,A minor,8A
violin_A6_1_forte_arco-normal.mp3,,0567,107,D minor,7A
violin_A6_1_fortissimo_arco-normal.mp3,,0750 1,101,A major,11B
violin_A6_1_mezzo-forte_arco-normal.mp3,,0398,107,A minor,8A
violin_A6_1_mezzo-forte_artificial-harmonic.mp3,,1146 3,85,D minor,7A
violin_A6_1_mezzo-forte_con-sord.mp3,,1104 1,94,B♭ major,6B
violin_A6_1_mezzo-forte_molto-vibrato.mp3,,2018,134,A minor,8A
violin_A6_1_mezzo-forte_natural-harmonic.mp3,,1153 4,107,A minor,8A
violin_A6_1_mezzo-piano_non-vibrato.mp3,,1994,107,D minor,7A
violin_A6_1_pianissimo_arco-normal.mp3,,0106 1,117,A minor,8A
violin_A6_1_piano_arco-col-legno-tratto.mp3,,1921,100,A major,11B
violin_A6_1_piano_arco-normal.mp3,,0218 1,118,A major,11B
violin_A6_1_piano_arco-sul-ponticello.mp3,,1870 1,107,A minor,8A
violin_A6_1_piano_arco-sul-tasto.mp3,,1905,106,A minor,8A
violin_A6_1_piano_con-sord.mp3,,1099 3,114,A major,11B
violin_A6_1_piano_natural-harmonic.mp3,,1190 3,142,C major,8B
violin_A6_05_forte_arco-normal.mp3,,0566,119,A minor,8A
violin_A6_05_fortissimo_arco-normal.mp3,,0749 1,101,A minor,8A
violin_A6_05_mezzo-forte_arco-col-legno-tratto.mp3,,0913 1,83,A minor,8A
violin_A6_05_mezzo-forte_arco-normal.mp3,,0397,77,A minor,8A
violin_A6_05_pianissimo_arco-normal.mp3,,0105,114,A minor,8A
violin_A6_05_piano_arco-normal.mp3,,0217,77,C major,8B
violin_A6_15_forte_arco-normal.mp3,,0568,107,D minor,7A
violin_A6_15_pianissimo_arco-normal.mp3,,0107,107,A minor,8A
violin_A6_025_forte_arco-normal.mp3,,0565,91,A minor,8A
violin_A6_025_fortissimo_arco-normal.mp3,,0748 1,107,A minor,8A
violin_A6_025_mezzo-forte_arco-normal.mp3,,0396,101,A major,11B
violin_A6_025_mezzo-forte_pizz-normal.mp3,,1066 4,104,A minor,8A
violin_A6_025_mezzo-piano_arco-normal.mp3,,1470,107,A minor,8A
violin_A6_025_pianissimo_arco-normal.mp3,,0104 1,119,A minor,8A
violin_A6_025_piano_arco-normal.mp3,,0216,76,A minor,8A
violin_A6_long_forte_molto-vibrato.mp3,,0991,94,A minor,8A
violin_A6_phrase_mezzo-forte_arco-glissando.mp3,,1030 4,104,A minor,8A
violin_A6_phrase_mezzo-piano_arco-major-trill.mp3,,1945,102,F major,7B
violin_A7_1_mezzo-forte_artificial-harmonic.mp3,,1123 4,107,D minor,7A
violin_A7_1_mezzo-forte_natural-harmonic.mp3,,1156 2,104,A minor,8A
violin_As3_1_forte_con-sord.mp3,,2083,89,B♭ minor,3A
violin_As3_1_fortissimo_arco-normal.mp3,,0622 1,107,B♭ major,6B
violin_As3_1_mezzo-forte_arco-normal.mp3,,0292,107,B♭ major,6B
violin_As3_1_mezzo-forte_arco-sul-ponticello.mp3,,1834,107,B♭ major,6B
violin_As3_1_mezzo-forte_molto-vibrato.mp3,,2004,104,B♭ major,6B
violin_As3_1_mezzo-piano_con-sord.mp3,,2065,132,B♭ major,6B
violin_As3_1_mezzo-piano_non-vibrato.mp3,,1955,153,B♭ major,6B
violin_As3_1_pianissimo_arco-normal.mp3,,0012,109,B♭ major,6B
violin_As3_1_piano_arco-normal.mp3,,1347 2,113,B♭ major,6B
violin_As3_1_piano_arco-sul-ponticello.mp3,,1856 1,96,B♭ major,6B
violin_As3_1_piano_arco-sul-tasto.mp3,,1891,87,B♭ minor,3A
violin_As3_05_forte_arco-normal.mp3,,1489,107,B♭ minor,3A
violin_As3_05_fortissimo_arco-normal.mp3,,0621 1,110,B♭ major,6B
violin_As3_05_mezzo-forte_arco-normal.mp3,,0291,127,B♭ major,6B
violin_As3_05_mezzo-piano_arco-normal.mp3,,1404 1,82,B♭ minor,3A
violin_As3_05_pianissimo_arco-normal.mp3,,0011 1,107,B♭ major,6B
violin_As3_05_piano_arco-normal.mp3,,0147,89,B♭ major,6B
violin_As3_15_fortissimo_arco-normal.mp3,,0623 1,107,B♭ major,6B
violin_As3_025_forte_arco-normal.mp3,,0440 1,107,B♭ major,6B
violin_As3_025_forte_snap-pizz.mp3,,1075 3,99,B♭ minor,3A
violin_As3_025_fortissimo_arco-normal.mp3,,1557,142,B♭ major,6B
violin_As3_025_mezzo-forte_arco-normal.mp3,,0253,88,B♭ major,6B
violin_As3_025_mezzo-forte_pizz-normal.mp3,,1056 2,107,B♭ major,6B
violin_As3_025_mezzo-piano_arco-normal.mp3,,1403,72,B♭ minor,3A
violin_As3_025_mezzo-piano_pizz-glissando.mp3,,1085 3,107,D minor,7A
violin_As3_025_pianissimo_arco-col-legno-battuto.mp3,,0929 1,107,A minor,8A
violin_As3_025_pianissimo_arco-col-legno-tratto.mp3,,0917 1,99,B♭ major,6B
violin_As3_025_pianissimo_arco-normal.mp3,,0010,72,B♭ minor,3A
